Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Protect Your Flag,https://www.crunchbase.com/organization/protectyourflag,2020-10-01,day,"Cyber Security, Intrusion Detection, Network Security, Penetration Testing","Miami, Florida, United States","PYF is specialized in the delivery of cybersecurity services, including penetration testing and vulnerability assessments.","1,252,561",,Active,,,,,For Profit,https://protectyourflag.com/,https://twitter.com/protectyourflag,https://www.linkedin.com/company/protectyourflag,"Protect Your Flag Corp (PYF) is specialized in the delivery of world-class cybersecurity services, including penetration testing, vulnerability assessments, threat hunting and incident response. We provide cyber security services and solutions to businesses of small, medium and large companies worldwide. We work for companies to protect their critical and confidential information against different kinds of vector attacks. Our company has different senior teams based on their certifications: OSCP, OSWP, eCPPT, CEH, SEC+, CCNA, PCAP. With PYF you get an experienced and committed bilingual team which will help your company find different kinds of vulnerabilities in your assets and lead you through the right path to secure them.",https://www.facebook.com/protectyourflag,"Greater Miami Area, East Coast, Southern US",,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,14,,,,,,,,,,
LinkUnite,https://www.crunchbase.com/organization/linkunite,2018-01-01,year,"Communities, Marketing, Public Relations","Nashville, Tennessee, United States",LinkUnite is a movement aimed at uniting communities and the greatest minds in marketing and wider industries.,"1,252,518",,Active,,,,,For Profit,https://www.linkunite.live,,https://www.linkedin.com/company/linkunite,"LinkUnite is a movement aimed at uniting communities and the greatest minds in marketing and wider industries. The company allows clients to create and discover the next level of their career and cultivate a new extended family. LinkUnite was founded in 2018 and is based in Nashville, TN.",https://web.facebook.com/LinkUnite,Southern US,,,,,,,,,,,,,,,,,"Community and Lifestyle, Sales and Marketing",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,29,,,,,,,,,,
2 Brush Strokes,https://www.crunchbase.com/organization/2-brush-strokes,2018-01-01,year,"Data Collection and Labeling, Information Services, Information Technology, SaaS, Software","Marlton, New Jersey, United States",2 Brush Strokes delivers SaaS-e automated primary source verification platform to automate the data collection and documentation process.,"1,252,503",,Active,,,,,For Profit,https://www.2brushstrokes.com/,,https://www.linkedin.com/company/2-brush-strokes-inc/,,,"Greater Philadelphia Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1,,,,,,,,,,
Green Country Psychology,https://www.crunchbase.com/organization/green-country-psychology,2018-01-01,year,"Consulting, Health Care, Legal, Personal Health, Therapeutics, Training","Tulsa, Oklahoma, United States","Green Country Psychology is a healthcare center that provides therapy, counseling, assessment and evaluation, training, and legal services.","1,252,495",$1M to $10M,Active,,,,,For Profit,https://greencountrypsychology.com,https://twitter.com/GreenCoPsych,https://www.linkedin.com/company/green-country-psychology,"Green Country Psychology is a healthcare center that provides therapy, counseling, assessment and evaluation, training, and legal services.",https://www.facebook.com/GreenCoPsych,Southern US,,,,,,,,,,,,,,,,,"Education, Health Care, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,32,,,,,,,,,,
INVIZA,https://www.crunchbase.com/organization/nviza,2020-01-01,year,"Hardware, Health Care, Information Technology, Medical, Software, Wearables","Fairport, New York, United States",INVIZA is a software development firm that provides wearable trackers for fitness and wellness.,"1,252,441",,Active,,,,,For Profit,https://inviza.com,https://twitter.com/invizawear,https://www.linkedin.com/company/invizallc,,https://www.facebook.com/invizawear,"East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Health Care, Information Technology, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
Esportscenter,https://www.crunchbase.com/organization/esportscenter,2020-01-01,year,"Digital Media, Gaming, Media and Entertainment, News, Video Games","Scottsdale, Arizona, United States",Esportscenter is a video game and esports media company that provides news and entertainment on various platforms.,"1,252,366",,Active,,,,,For Profit,https://www.esportscentermedia.com/,https://twitter.com/_esportscenter,https://www.linkedin.com/company/esportscentermedia,,,"Greater Phoenix Area, Western US",,,,,,,,,,,,,,,,,"Content and Publishing, Gaming, Media and Entertainment",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,25,,,,,,,,,,
Vision Point Capital,https://www.crunchbase.com/organization/vision-point-capital,2018-01-01,year,"Advice, Business Development, Finance, Financial Services, Management Consulting","Tampa, Florida, United States","Vision Point Capital is a financial advisory firm that specializes in business development, litigation support and M&A valuation services.","1,252,287",Less than $1M,Active,,,,,For Profit,https://visionpointcapital.com/,,https://www.linkedin.com/company/vision-point-capital/,,https://www.facebook.com/Vision-Point-Capital-Inc-251291615805069/,"Tampa Bay Area, East Coast, Southern US",,,,,,,,,,,,,,,,,"Financial Services, Media and Entertainment, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,12,,,,,,,,,,
EsportsGear,https://www.crunchbase.com/organization/esportsgear,2018-01-01,year,"E-Commerce, Fashion, Wholesale","Worthington, Ohio, United States",EsportsGear is a fashion designer that offers dye sublimation printing and design for hoodies and jerseys.,"1,252,210",$1M to $10M,Active,,,,,For Profit,https://esportsgear.com,https://twitter.com/esportsgear,https://www.linkedin.com/company/esportsgear,EsportsGear provides printing and product design services. They offer services that include dye sublimation printing and design for hoodies and jerseys. An online inquiry form is available on the company's website.,https://www.facebook.com/EsportsGear,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design",1,Anthony Guerra,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,4.72%,13,,,,0,1,,Advertising; business,,,
AltReports,https://www.crunchbase.com/organization/altreports,2022-01-01,year,"News, Publishing, Real Estate","Bend, Oregon, United States",AltReports is a curated collection of alternative investing news and ideas for self-directed independent investors.,"1,252,126",,Active,,,,,For Profit,https://altreports.com,,https://www.linkedin.com/company/altreports/,"AltReports is a curated collection of alternative investing news and ideas for self-directed independent investors. Founded in 2022 and is based in Bend, OR.",,"West Coast, Western US",,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Real Estate",1,Brecht Palombo,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-1.82%,7,,,,,,,,,,
LittleBigBrain,https://www.crunchbase.com/organization/littlebigbrain,2019-06-01,day,"Artificial Intelligence (AI), Consulting, Information Technology, Machine Learning, Real Estate, Software","Tulsa, Oklahoma, United States",AI business solutions,"1,252,027",,Active,,,,,For Profit,http://www.littlebigbrain.com,,https://www.linkedin.com/company/littlebigbrain,LittleBigBrain brings AI innovation to enterprise business across multiple industries.,,Southern US,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Real Estate, Science and Engineering, Software",2,"John Morad, Kevin Malone",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,13,,,,0,1,,Scientific and technological services,,,
