Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Prodigal,https://www.crunchbase.com/organization/prodigal-3824,2018-06-01,month,"Artificial Intelligence (AI), Finance, Machine Learning, Natural Language Processing, SaaS, Software","Mountain View, California, United States","A Consumer Finance Intelligence solution that analyzes agent and customer conversations to enhance profits, experience, and compliance.","4,996",$10M to $50M,Active,,,,,For Profit,https://prodigaltech.com/,https://twitter.com/prodigaltech,https://www.linkedin.com/company/prodigaltech,"Prodigal is the pioneer of consumer finance intelligence. We use artificial intelligence to illuminate conversations in loan servicing, collections, auto finance, banking, healthcare RCM, and more. Our solutions turn analysis into action with real-time agent assistance, automated notes, and quality assurance. Nearly one in five U.S. borrowers has engaged with Prodigal over 300 million conversations, and we won’t rest until every player in the loan lifecycle experiences the relief of better communication, context, and clarity.",https://www.facebook.com/prodigalai,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",3,"Sangram Raje, Saransh Garg, Shantanu Gangal",51-100,3,Early Stage Venture,2021-07-22,12000000,USD,12000000,Series A,12000000,USD,12000000,Series A,12120000,USD,12120000,12120000,USD,12120000,"Accel, Y Combinator, Menlo Ventures, Eric Sager, Nicholas Hinrichsen",2,7,,,,,,,Private,,,,,,,,,,,,,1,-13.6%,59,,,20,,,,,40496,USD,40496
Parker,https://www.crunchbase.com/organization/parker-570c,2019-01-01,year,"Banking, E-Commerce, Finance, Financial Services, FinTech","New York, New York, United States",Parker offers corporate credit cards to help e-commerce businesses pay expenses and manage their finances.,"4,997",$1M to $10M,Active,,,,,For Profit,https://getparker.com,,https://www.linkedin.com/company/getparker,"Parker offers corporate credit cards to help e-commerce businesses pay expenses and manage their finances. In order to increase profits and unleash the full potential of your brand, Parker offers its users a card to pay for expenses as well as tools to monitor important metrics. The company's eCommerce business credit card offers net terms on each transaction, has average credit limits higher than conventional business credit cards, and is targeted at middle-market businesses.",,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Lending and Investments",2,"Milan Ray, Yacine Sibous",11-50,4,Early Stage Venture,2023-03-16,120000000,USD,120000000,Debt Financing,31100000,USD,31100000,Series A,37000000,USD,37000000,157000000,USD,157000000,"Jefferies, Y Combinator, TriplePoint Capital, Valar Ventures, Ethos VC",2,6,,,,,,,Private,,,,,,,,,,,,,,2.35%,16,,,,,,,,,,
Truv,https://www.crunchbase.com/organization/citadel-verifications-simplified,2020-06-01,month,"Data Integration, Developer APIs, FinTech, Information Technology, Software","San Francisco, California, United States","With Truv, users can easily connect their payroll account and instantly verify employment, income, and identity.","4,999",$1M to $10M,Active,,,,,For Profit,https://www.truv.com/,https://twitter.com/TruvHQ,https://www.linkedin.com/company/truvhq/,"With Truv, users can easily connect their payroll account and instantly share the information you need to run verifications—and we make it more affordable and faster than your manual verifications.",https://www.facebook.com/TruvHQ,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Software",2,"Ilya Chatsviorkin, Kirill Klokov",11-50,2,Early Stage Venture,2022-03-03,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,28500000,USD,28500000,28500000,USD,28500000,"Soma Capital, Xploration Capital, Abstract Ventures, Kleiner Perkins, Nyca Partners",2,17,1,Made Acquisitions,,,,,Private,,,,,,,,,,,2023-06-08,,1,6.48%,34,,,20,,,,,,,
Equitybee,https://www.crunchbase.com/organization/equitybee,2018-01-01,year,"Financial Exchanges, Financial Services, Personal Finance","Palo Alto, California, United States","Get funding to exercise your options, plus an upfront payment, all while retaining ownership.","5,001",$10M to $50M,Active,,,,,For Profit,https://equitybee.com/,https://twitter.com/equitybee,https://www.linkedin.com/company/equitybee/,"EquityBee helps startup employees get the money they need to exercise their stock options before they expire. Their platform links employees with investors to provide option-holders the funding they need to exercise their options and unlock the value of their equity. It was founded in 2018 and headquartered in Palo Alto, California.",https://www.facebook.com/EquityBeeCom,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments",4,"Arik Moav, Mody Radashkovich, Oded Golan, Oren Barzilai",51-100,4,Early Stage Venture,2021-09-29,57000000,USD,57000000,Series B,57000000,USD,57000000,Series B,85300000,USD,85300000,85300000,USD,85300000,"Battery Ventures, Group 11, Zeev Ventures, Latitude, LocalGlobe",2,12,,,,,,,Private,,,,,,,,,,,2022-12-13,,,-30.94%,45,,,,0,2,,Insurance; financial affairs,,,
KORE Power,https://www.crunchbase.com/organization/kore-power,2018-01-01,year,"Electric Vehicle, Energy, Energy Storage, Manufacturing, Renewable Energy","Coeur D'alene, Idaho, United States","Kore Power manufactures energy storage, electric vehicles, microgrids, utilities, and e-mobility systems for the clean energy industries.","5,016",$1M to $10M,Active,,,,,For Profit,https://korepower.com,https://twitter.com/kore_power,https://www.linkedin.com/company/korepower/,"Kore Power manufactures energy storage, electric vehicles, microgrids, utilities, and e-mobility systems for the clean energy industries. The company was founded in 2018 and is headquartered in Coeur d'Alene, Idaho.",https://www.facebook.com/korepowerinc/,Western US,,,1,1,,1,,,,,,,,,,,"Energy, Manufacturing, Sustainability, Transportation",2,"Lindsay Gorrill, Paul Coombs",51-100,2,Early Stage Venture,2023-06-09,850000000,USD,850000000,Debt Financing,75000000,USD,75000000,Series A,75000000,USD,75000000,925000000,USD,925000000,"US Department of Energy, Quanta Services, Honeywell Ventures, Siemens Financial Services, Nidec Motor Corporation",2,6,1,Made Acquisitions,,,,,Private,,,,,,,,,,,2021-10-04,,,-68.44%,38,,,,0,6,,Scientific and electric apparatus and instruments,,,
mmhmm,https://www.crunchbase.com/organization/mmhmm,2020-04-01,month,"Apps, Software, Video Chat, Video Conferencing","Bentonville, Arkansas, United States","mmhmm is a virtual camera application used to create virtual rooms, backdrops, and presentations during video conferencing calls.","5,018",Less than $1M,Active,,,,,For Profit,http://mmhmm.app,https://twitter.com/mmhmmapp,https://www.linkedin.com/company/mmhmmapp,"Mmhmm is a developer of a virtual camera application used to help make creative use of background during video conferencing calls. Its application integrates into the user's video calling applications and adds backdrops, allows users to team-up with their remote partners and give presentations together, and enables customers to make their virtual meetings more interesting and informative. The company was founded in 2020 and is headquartered in Bentonville, Arkansas.",https://www.facebook.com/mmhmmapp,Southern US,,,,,,,,,,,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",1,Phil Libin,11-50,4,Early Stage Venture,2021-07-07,100000000,USD,100000000,Series B,100000000,USD,100000000,Series B,134850000,USD,134850000,139850000,USD,139850000,"Sequoia Capital, Goldman Sachs, Silicon Valley Bank, Precursor Ventures, GSV Ventures",4,35,2,Made Acquisitions,,,,,Private,,,,,,,,,,,,,,-16.05%,66,1,33,,11,18,Electric Communication Technique,Scientific and electric apparatus and instruments,,,
Symmetry Systems,https://www.crunchbase.com/organization/symmetry-systems,2018-01-01,year,"Cloud Security, Data Management, Information Technology, Security, Software","San Mateo, California, United States","Symmetry Systems is a platform that detects, responds, and protects against data breaches.","5,025",$1M to $10M,Active,,,,,For Profit,https://www.symmetry-systems.com,https://twitter.com/symmetrysystems,https://www.linkedin.com/company/symmetry-systems-inc/,"Symmetry Systems delivers Data Store and Object Security (DSOS) purpose-built to provide full visibility and unified access control over your most valuable data assets, no matter where or how they are stored. Symmetry DataGuard maintains authority over data even when all else fails, whether that be exploited insider credentials, malicious applications, or security fatigue from the rapid onset of remote work.",,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Privacy and Security, Software",3,"Casen Hunger, Mohit Tiwari, Puneet Tiwari",11-50,6,Early Stage Venture,2023-08-09,17700000,USD,17700000,Series B,17700000,USD,17700000,Series B,35700000,USD,35700000,35700000,USD,35700000,"Accenture Ventures, Forgepoint Capital, Adit Ventures, Shane Neman, Prefix Capital",2,14,,,,,,,Private,,,,,,,,,,,,,,,15,,,20,,,,,,,
KarmaCheck,https://www.crunchbase.com/organization/karmacheck,2019-09-01,month,"Artificial Intelligence (AI), Blockchain, Employment, Software","San Francisco, California, United States",KarmaCheck develops an employee verification software to provide background checks for employment needs.,"5,042",$1M to $10M,Active,,,,,For Profit,https://www.karmacheck.com,https://twitter.com/KarmaCheckInc,https://www.linkedin.com/company/karmacheck/,"KarmaCheck develops employee verification software to provide background checks for employment needs. This software uses artificial intelligence and blockchain to provide real-time and actionable background checks including comprehensive criminal checks, employment verification, and education verification.",,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Professional Services, Science and Engineering, Software",3,"Anoop Kundra, Eric Ly, Mark Lieberwitz",11-50,4,Early Stage Venture,2022-04-11,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,19200000,USD,19200000,19200000,USD,19200000,"Alumni Ventures, One Way Ventures, Index Ventures, AAF Management Ltd., Flyer One Ventures",1,18,,,,,,,Private,,,,,,,,,,,,,,-1.73%,12,,,,,,,,,,
Nabis,https://www.crunchbase.com/organization/nabis,2018-03-01,month,"Cannabis, Logistics, Marketplace","San Francisco, California, United States",Nabis is the #1 licensed cannabis wholesale marketplace.,"5,048",$10M to $50M,Active,,,,,For Profit,https://www.nabis.com,https://twitter.com/GetNabis,https://www.linkedin.com/company/getnabis,"Nabis is a licensed cannabis wholesale marketplace that distributes cannabis products to retailers. It provides a lightning-fast distribution, sales, marketing, financing, and data analytics services. The company's technology coordinates the entire cannabis distribution lifecycle from production to delivery.",https://www.facebook.com/getnabis,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Transportation",2,"Jun S. Lee, Vincent Ning",251-500,6,,2022-05-01,4000000,USD,4000000,Undisclosed,4000000,USD,4000000,Undisclosed,45000000,USD,45000000,50000000,USD,50000000,"Gaingels, Y Combinator, Soma Capital, FJ Labs, Employee Stock Option Fund",2,33,,,,,,,Private,,,,,,,,,,,,,,19.47%,56,,,15,,,,,,,
Angle Health,https://www.crunchbase.com/organization/adrem-ai,2019-01-01,year,"Health Care, Health Insurance, Insurance","San Francisco, California, United States",Angle Health delivers the modern health insurance experience expected by today's employees.,"5,062",$10M to $50M,Active,,,,,For Profit,https://www.anglehealth.com,,https://www.linkedin.com/company/anglehealth/,Angle Health delivers the modern health insurance tech platform as well as health care plans for startups.,,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Financial Services, Health Care",2,"Anirban Gangopadhyay, Tylon Wang",101-250,3,Early Stage Venture,2023-01-25,58000000,USD,58000000,Series A,58000000,USD,58000000,Series A,62000000,USD,62000000,62000000,USD,62000000,"Y Combinator, SixThirty, TSVC, Wing Venture Capital, Portage Ventures",2,18,,,,,,,Private,,,,,,,,,,,,,,23.77%,1,1,,15,0,0,,Scientific and electric apparatus and instruments,22946998,USD,22946998
Pulsora,https://www.crunchbase.com/organization/pulsesg,2021-01-01,year,"Information Technology, SaaS, Software","San Francisco, California, United States","Pulsora is an enterprise environmental, social, and governance software as a service platform.","5,075",$1M to $10M,Active,,,,,For Profit,https://pulsora.com/,,https://www.linkedin.com/company/pulsora/,"Pulsora is an enterprise environmental, social, and governance software as a service platform. pulsESG is based in San Francisco, California.",,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Information Technology, Software",2,"Inderjeet Singh, Murat Sonmez",101-250,4,Early Stage Venture,2023-09-12,20000000,USD,20000000,Series A,20000000,USD,20000000,Series A,28500000,USD,28500000,28500000,USD,28500000,"Accenture Ventures, Aramco Ventures, Builders VC, JetBlue Ventures, FINTOP Capital",3,15,,,,,,,Private,,,,,,,,,,,,,,316.99%,39,,,,0,1,,Scientific and electric apparatus and instruments,,,
