Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Perplexity AI,https://www.crunchbase.com/organization/perplexity-ai,2022-01-01,year,"Artificial Intelligence (AI), Chatbot, Generative AI, Search Engine, Software","San Francisco, California, United States",Perplexity AI is an AI-chat-based conversational search engine that delivers answers to questions using language models.,3,$10M to $50M,Active,,,,,For Profit,https://www.perplexity.ai,https://twitter.com/perplexity_ai,https://www.linkedin.com/company/perplexity-ai,"Perplexity is a search engine platform that uses artificial intelligence to provide large language models and search engines. The company's platform enables the development of beneficial artificial general intelligence, as well as an open-source environment that is accessible to the public, allowing clients to develop skills and knowledge in artificial intelligence.",,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",4,"Andy Konwinski, Aravind Srinivas, Denis Yarats, Johnny Ho",1-10,3,Early Stage Venture,2024-01-04,73600000,USD,73600000,Series B,73600000,USD,73600000,Series B,102300000,USD,102300000,102300000,USD,102300000,"NVIDIA, E1 Ventures, Bessemer Venture Partners, Jeff Bezos, Nat Friedman",3,31,,,,,,,Private,,,,,,,,,,,,,,-27.92%,14,1,"82,675",,0,0,,Scientific and electric apparatus and instruments,,,
ElevenLabs,https://www.crunchbase.com/organization/elevenlabs,2022-04-17,day,"Artificial Intelligence (AI), Audio, Content Creators, Developer APIs, Publishing","New York, New York, United States",ElevenLabs is a research company developing AI voice synthesis software for creators and publishers.,7,$1M to $10M,Active,,,,,For Profit,http://elevenlabs.io,https://www.twitter.com/elevenlabsio,https://www.linkedin.com/company/elevenlabsio,ElevenLabs researching and deploying novel methods in voice AI to make content enjoyable in any language and voice to benefit new audiences and viewers. The company's mission is to make content universally accessible in any language and voice.,https://www.facebook.com/elevenlabsio,"Greater New York Area, East Coast, Northeastern US",,,1,1,,,,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",2,"Mati Staniszewski, Piotr Dabkowski",11-50,4,Early Stage Venture,2024-02-21,,,,Non-equity Assistance,80000000,USD,80000000,Series B,101000000,USD,101000000,101000000,USD,101000000,"Andreessen Horowitz, Sequoia Capital, Storytel, Alex Macdonald, Embark Studios",5,25,,,,,,,Private,,,,,,,,,,,,,,-12.35%,77,,,,,,,,,,
Hadrian,https://www.crunchbase.com/organization/hadrian-caa2,2020-11-01,month,"Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management","Hawthorne, California, United States",Hadrian is a machine parts startup that manufactures precision components for technology companies.,25,$1M to $10M,Active,,,,,For Profit,https://hadrian.co,https://twitter.com/HadrianSpace,https://www.linkedin.com/company/hadrianspace,"Hadrian is a machine parts startup that manufactures precision components for technology companies. It builds autonomous, software-defined precision component factories that help its customers make rockets, satellites, jets, and eVTOLs.",,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Manufacturing, Science and Engineering, Transportation",1,Chris Power,101-250,5,Early Stage Venture,2024-02-21,92000000,USD,92000000,Series B,92000000,USD,92000000,Series B,191500000,USD,191500000,216500000,USD,216500000,"Andreessen Horowitz, Founders Fund, Silent Ventures, Caffeinated Capital, Lux Capital",3,21,,,,,,,Private,,,,,,,,,,,,,,-50.81%,33,,,9,,,,,,,
EigenLayer,https://www.crunchbase.com/organization/eigenlayer,2021-01-01,year,"Blockchain, Information Technology, Innovation Management","Seattle, Washington, United States",EigenLayer is a blockchain infrastructure startup that enables the restaking of ETH across various decentralized applications.,27,,Active,,,,,For Profit,https://www.eigenlayer.xyz,https://twitter.com/eigenlayer,https://www.linkedin.com/company/eigenl,"EigenLayer is a blockchain infrastructure startup that enables the restaking of ETH across various decentralized applications. They also provide developers with access to the Ethereum staked capital base and decentralized validator set. Traditionally, staking requires validators to lock up ETH as a security deposit to engage in the network's consensus mechanism, earning rewards for contributing to network security and validating transactions. However, once ETH is staked, it is generally immobilized until withdrawn, restricting validators from utilizing these assets elsewhere. EigenLayer aims to tackle this challenge by allowing staked ETH to be restaked across diverse decentralized applications and services without removing it from the original consensus mechanism.",,"Greater Seattle Area, West Coast, Western US",,,1,1,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Information Technology, Other, Professional Services",1,Sreeram Kannan,11-50,4,Early Stage Venture,2024-02-22,100000000,USD,100000000,Series B,100000000,USD,100000000,Series B,164400000,USD,164400000,164400000,USD,164400000,"Polychain, Eclipse, dao5, Coinbase Ventures, Breyer Capital",2,14,,,,,,,Private,,,,,,,,,,,,,,4.38%,68,,,,,,,,,,
Ambience Healthcare,https://www.crunchbase.com/organization/ambience-healthcare,2020-01-01,year,"Artificial Intelligence (AI), Health Care, Information Technology, Medical","San Francisco, California, United States",Ambience Healthcare is the leading AI operating system for healthcare organizations.,32,$1M to $10M,Active,,,,,For Profit,https://ambiencehealthcare.com,,https://www.linkedin.com/company/ambiencehealthcare,"Ambience Healthcare’s mission is to supercharge clinicians with breakthrough generative AI technology. The Ambience AI operating system consists of a synergistic suite of applications, designed to alleviate clinician burnout, improve overall system efficiency, and enable high-quality care. By partnering with Ambience, healthcare systems reduce documentation time by an average of 78%, improve coding integrity, and achieve at least a 5X return on investment.",,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",1,Nikhil Buduma,11-50,3,Early Stage Venture,2024-02-06,70000000,USD,70000000,Series B,70000000,USD,70000000,Series B,106285000,USD,106285000,106285000,USD,106285000,"OpenAI, Andreessen Horowitz, Kleiner Perkins, OpenAI Startup Fund, Airtree Ventures",2,18,,,,,,,Private,,,,,,,,,,,,,,-78.99%,10,,,,,,,,,,
Alys Pharmaceuticals,https://www.crunchbase.com/organization/alys-pharmaceuticals,2024-01-01,year,"Biotechnology, Health Care, Pharmaceutical","Boston, Massachusetts, United States",Alys Pharmaceuticals is a biopharmaceutical company focused on developing immuno-dermatology treatments.,35,,Active,,,,,For Profit,https://alyspharma.com,,https://www.linkedin.com/company/alys-pharmaceuticals,Alys Pharmaceuticals engages in immuno-dermatology services. The company is reshaping the treatment landscape through advanced scientific innovations and a strong research and development-focused multi-platform pipeline. Alys emerged as a result of the strategic aggregation of 6 asset-centric companies backed by Medicxi.,,"Greater Boston Area, East Coast, New England",,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",7,"Brian Kim, Craig Mello, Eric Deutsch, John Harris, Lars French, Mark Prausnitz, Thibaud Portal",11-50,1,Seed,2024-02-12,100000000,USD,100000000,Seed,100000000,USD,100000000,Seed,100000000,USD,100000000,100000000,USD,100000000,Medicxi,1,1,6,Made Acquisitions,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
Figure,https://www.crunchbase.com/organization/figure-b5dc,2022-01-01,year,"Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Robotics","Sunnyvale, California, United States",Figure Robotics is an AI robotics company that is building a multi-purpose humanoid form robot.,57,,Active,,,,,For Profit,https://www.figure.ai,https://twitter.com/_figureai,https://www.linkedin.com/company/figure-ai,"Figure is an AI robotics company that builds a multi-purpose humanoid form robot. The company has created a humanoid robot with the purpose of being introduced into the workforce to tackle problems such as labor shortages, and undesirable or unsafe jobs, and to assist in global supply chain operations. Figure 01 combines the agility of the human body with advanced AI technology to surpass the capabilities of robots designed for specific tasks. It provides assistance in various sectors including manufacturing, logistics, warehousing, and retail.",,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",1,Brett Adcock,51-100,3,Early Stage Venture,2024-02-23,675000000,USD,675000000,Series B,675000000,USD,675000000,Series B,754000000,USD,754000000,754000000,USD,754000000,"NVIDIA, OpenAI, Microsoft, Shane Neman, Samsung Ventures",2,29,,,,,,,Private,,,,,,,,,,,,,,-41.59%,1,,,,,,,,,,
LangChain,https://www.crunchbase.com/organization/langchain,2022-01-01,year,"Artificial Intelligence (AI), Database, Developer APIs, Generative AI","San Francisco, California, United States",LangChain enables developers to accelerate their LLM application workflows by overseeing the entire project lifecycle.,68,,Active,,,,,For Profit,https://www.langchain.com,https://twitter.com/LangChainAI,https://www.linkedin.com/company/langchain,"LangChain is a language model application development library that develops a language model framework to power applications that integrate with other sources of data and interact with their environment. Its platform also offers support for various model types, prompt management, memory, indexing, chains, and agents to help developers create generative artificial intelligence like personal assistants, question-answering bots, chatbots, and data querying.",,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Ankush Gola, Harrison Chase",11-50,2,Early Stage Venture,2024-02-15,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,35000000,USD,35000000,35000000,USD,35000000,"Sequoia Capital, Benchmark",2,2,,,,,,,Private,,,,,,,,,,,,,,-5.69%,43,,,,0,0,,Scientific and technological services,,,
Manta Network,https://www.crunchbase.com/organization/manta-network,2020-01-01,year,"Blockchain, Cryptocurrency","Boston, Massachusetts, United States",Manta Network is building a secure and interoperable future with Zero-Knowledge.,71,$1M to $10M,Active,,,,,For Profit,https://manta.network/,https://x.com/mantanetwork,https://www.linkedin.com/company/mantanetwork,,,"Greater Boston Area, East Coast, New England",,,2,2,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",3,"Kenny Li, Shumo Chu, Victor Ji",51-100,5,Early Stage Venture,2023-07-19,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,60400000,USD,60400000,60400000,USD,60400000,"Qiming Venture Partners, LongHash Ventures, Polychain, ParaFi Capital, SevenX Ventures",5,30,,,,,,,Private,,,,,,,,,,,,,,-69.21%,41,,,,,,,,,,
Climate Transition Development,https://www.crunchbase.com/organization/climate-transition-development,2023-04-01,day,"CleanTech, Construction, Energy Storage, Geothermal Energy, Green Building, GreenTech, Heating, Ventilation, and Air Conditioning (HVAC), Renewable Energy, Solar, Sustainability","Santa Monica, California, United States",Geothermal and Solar Green Buildings,79,,Active,,,,,For Profit,https://ctdevelopment.co,,https://www.linkedin.com/company/climate-transition-development,"Climate Transition Development (CTD) is a pioneering force in the realm of sustainable finance, with a keen focus on accelerating the transition to a greener, more sustainable global economy. We are dedicated to investing in and developing projects that not only promise financial returns but also drive significant environmental benefits. Our portfolio encompasses a broad range of sustainable initiatives, including the integration of green buildings with solar rooftops and geothermal heating systems, the transformation of parking garages and commercial real estate into solar-powered facilities, and the conversion of downtown buildings and single-family residences into energy-efficient solar buildings complemented by geothermal energy solutions. This comprehensive approach to sustainable development represents the core of our business model. By focusing on renewable energy sources and energy efficiency in the built environment, CTD is at the forefront of promoting green economic growth and reducing environmental impacts. Our investments in solar energy and geothermal heating are not just about harnessing renewable resources; they are about reimagining urban and residential spaces for a sustainable future. The projects we develop and finance through SPVs are designed to ensure investment security, transparency, and effective risk management, aligning financial success with our commitment to environmental stewardship. Our work extends beyond mere investment to foster partnerships across governments, businesses, and communities, aiming to achieve collective climate goals and drive the adoption of sustainable practices across sectors. Climate Transition Development is shaping the landscape of responsible investment, demonstrating that it is possible to achieve economic prosperity while making a positive impact on the planet. We invite stakeholders and investors to to join us in this transformative journey.",https://www.facebook.com/climatetransitiondevelopment,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Energy, Natural Resources, Real Estate, Sustainability",1,Godai Furusawa,51-100,1,,2024-02-03,50000000,USD,50000000,Undisclosed,50000000,USD,50000000,Undisclosed,50000000,USD,50000000,50000000,USD,50000000,Godai Furusawa,1,1,0,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
