company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
SEISMIC CENTER ASAR,2019-08-14,https://asar.ro/,"San Francisco, California, United States","Administrative Services, Energy, Financial Services, Information Technology, Privacy and Security, Science and Engineering, Software, Sustainability","Civil Engineering, Environmental Engineering, Information Technology, Physical Security, Renewable Energy, Software Engineering, Wealth Management",2925385.0,"Seismic Center ASAR has developed seismic forecasting and pre-detection technologies together with its partners. Seismic Center is an organization beloved by over 110,000 followers. It is a technological start-up for the future. The possibilities of this ngo are countless. Seismic Center ASAR it's a legal registered NGO, located in Romania, Iasi County and our missions are concentrated in the RDI Research Development Innovation brench. In the first 6 months of activity Seismic Center ASAR has already realized 4 projects of strategic interest, one of which is already implemented in the government administration of Romania.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,87303,False,False
Gauge Real Estate Partners,2021-01-01,https://gaugerep.com,"Houston, Texas, United States","Design, Media and Entertainment, Real Estate","Advice, Commercial Real Estate, Interior Design, Property Development",1929845.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,71456,False,False
Phonesites,2018-01-01,https://phonesites.com,"Addison, Texas, United States",Software,"SaaS, Software",466183.0,"PhoneSites offers the ability to create landing pages from your phone and delegate the authoring to our AI. The company was founded in 2018 and is based in Addison, TX, USA.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,6,2018,36626,False,False
Aurosat Entertainment Media LLC,2023-01-31,https://www.aurosat.com,"Turkey, North Carolina, United States",Media and Entertainment,Media and Entertainment,1919428.0,"Aurosat Entertainment, To provide all the services and support they need to advance their careers under the same roof and with a corporate approach, and also to contribute to the institutionalization of the music media entertainment industry in Turkey. and to increase the service quality and standard by creating a perfectly functioning system within its body.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2023,70005,False,False
Trkr,2020-01-01,https://www.trkrcenter.com,"Austin, Texas, United States","Data and Analytics, Education, Software","Database, EdTech, Education, SaaS, Software",158952.0,"Trkr seeks to build a platform around students and for students. The system focuses heavily on time management as well as goal setting, putting the power in the students hands to understand the impact each hour spent has on their total grade. From struggling students to those who feel they want to be more efficient, Trkr has something to offer them.  In a world where software and technology has moved at a rapid pace, us at Trkr feel there has been a lag in development in the tech space. This is very evident in what is available directly to students.",1-10,1.0,Seed,2020-03-25,20000.0,Pre-Seed,20000.0,2.0,1-10,Private,,,,,,0,4,2020,19007,False,False
Edu.Dental,2023-01-01,https://edu.dental,"Carlsbad, California, United States","Education, Health Care","Health Care, Higher Education",179119.0,,1-10,1.0,Seed,2023-08-28,50000.0,Pre-Seed,50000.0,2.0,1-10,Private,,,0.0,0.0,,0,1,2023,20579,False,False
Leigh Orthopedic Surgery Center,2018-01-01,https://www.leighortho.com,"Norfolk, Virginia, United States",Health Care,"Health Care, Medical, Medical Device",270142.0,Leigh Orthopedic Surgery Center is a health care company.,11-50,1.0,Seed,2018-11-11,150000.0,Seed,150000.0,,11-50,Private,,,,,,0,6,2018,27034,False,False
BizzyCar,2018-01-01,https://bizzycar.com,"Saint Peters, Missouri, United States","Other, Professional Services, Transportation","Car Sharing, Customer Service",164695.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,6,2018,19444,False,False
inqoob,2022-02-21,https://inqoob.com/,"Lewes, Delaware, United States",Software,Chatbot,1963769.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2022,70851,False,False
CoFound Partners,2019-06-01,https://cofoundpartners.com,"New York, New York, United States","Financial Services, Lending and Investments, Other, Software","B2B, Enterprise Software, IaaS, PaaS, Venture Capital",126751.0,"CoFound Partners is an early-stage venture firm that helps founders build a repeatable sales motion. The company was founded in 2019 by Jordan Wan and is headquartered in New York, United States.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,16187,False,False
