,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
94,Coiled,2020-01-01,https://coiled.io,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Machine Learning",13416.0,"Coiled is a modern solution for seamlessly scaling data science, machine learning, and AI in Python.",11-50,2.0,Early Stage Venture,2021-05-18,21000000.0,Series A,26000000.0,1.0,11-50,Private,,,,,,0,4,2020,92,False,False
175,Treat AI,2021-01-01,https://trytreat.ai,"New York, New York, United States","Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Creative Agency, E-Commerce, Marketing",13742.0,AI-generated ad creative that's on brand and on target.  Generate more targeted creative in less time to maximize engagement and conversions.,1-10,3.0,Seed,2023-04-04,8500000.0,Seed,15024925.0,2.0,1-10,Private,,,,,,0,3,2021,173,False,False
216,Outset,2022-01-01,https://outset.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",13972.0,,1-10,2.0,Seed,2023-10-26,3800000.0,Seed,4900000.0,2.0,1-10,Private,,,,,,0,2,2022,213,False,False
314,Sift,2021-01-01,https://www.siftstack.com,"El Segundo, California, United States","Artificial Intelligence (AI), Data and Analytics, Software","Machine Learning, Software",14455.0,Sift offers transformative tools for machine creators to innovate at speed and scale.,11-50,2.0,Seed,2023-11-07,7500000.0,Seed,7500000.0,2.0,11-50,Private,,,,,,0,3,2021,309,False,False
351,Kinetic Automation,2021-01-01,https://www.kinetic.auto,"Orange, California, United States","Artificial Intelligence (AI), Hardware, Media and Entertainment, Science and Engineering, Software","Art, Hardware, Robotic Process Automation (RPA), Robotics, Software",14685.0,,11-50,1.0,Early Stage Venture,2023-10-05,10000000.0,Series A,10000000.0,,11-50,Private,,,,,,0,3,2021,345,False,False
461,Rightbot,2020-06-01,https://www.rightbot.com/,"Newark, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Robotics, Warehouse Automation, Warehousing",15301.0,Rightbot's Sherlock automates unloading and loading of floor loaded containers.,1-10,6.0,Seed,2023-12-05,6250000.0,Seed,6750000.0,2.0,1-10,Private,,,,,,0,3,2020,452,False,False
538,ARQA,2022-11-01,https://arqa.ai/,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Data Integration, Financial Services, Generative AI, Information Services, Information Technology, Predictive Analytics, Software, Wealth Management",15663.0,"ARQA is on a mission to empower high-net-worth individuals, family offices, investment advisors, and institutions by delivering swift and insightful access to extensive information within their portfolios. Our goal is to enhance their day-to-day operations, making tasks more efficient and impactful. At the forefront of the financial AI revolution, ARQA is dedicated to offering AI-enabled applications that empower financial professionals to make informed decisions. We drive success through advanced and intelligent capabilities, ensuring our clients thrive in the ever-evolving financial landscape.",11-50,1.0,Seed,2022-11-18,6500000.0,Seed,6500000.0,2.0,11-50,Private,,,,,,0,1,2022,529,False,False
624,Merico,2018-10-01,http://merico.dev,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Software","Developer Tools, Information Technology, Machine Learning, SaaS, Software",16111.0,"Merico develops code analytics technology to support engineering teams in understanding and optimizing productivity and code quality. It uses advanced program analysis and machine learning to provide users with software engineering, human resource, and information resource management services that enable clients to gain deep insight, optimize resource allocation, and boost team productivity. Merico was founded in 2018 and is headquartered in San Francisco, California.",51-100,4.0,Early Stage Venture,2021-10-26,12389916.0,Series A,21420916.0,3.0,51-100,Private,,,2.0,9,,0,5,2018,609,False,False
804,Careerflow.ai,2022-10-19,https://www.careerflow.ai,"San Francisco, California, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consumer Software, Employment, Human Resources, Recruiting",16967.0,"CareerFlow AI-assisted tools and resources to get hired at FAANG, tech, and startup companies.",1-10,1.0,Seed,2023-07-01,800000.0,Pre-Seed,800000.0,2.0,1-10,Private,,,,,,0,1,2022,787,False,False
1004,Glimpse,2020-01-01,https://www.tryglimpse.com/,"East Brunswick, New Jersey, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Data Management, Data Storage, Retail Technology, Sales Automation",18040.0,"Glimpse partners with brands to place their products in luxury short-term rentals as a sales and acquisition channel. Glimpse was founded in 2020 by Kushal Negi, Akash Raju, and Anuj Mehta and was headquartered in New York.",11-50,4.0,Seed,2022-03-29,6200000.0,Seed,8358120.0,3.0,11-50,Private,,,0.0,1.0,,0,4,2020,983,False,False
1013,Neocom,2020-01-01,https://neocom.ai,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Internet, Machine Learning, SaaS, Software",18087.0,We are making product  discovery  effortless. Neocom is a SaaS solution that enables companies to understand and delight their customers with AI powered Guided Discovery.,11-50,2.0,Seed,2023-09-28,4500000.0,Seed,4500000.0,2.0,11-50,Private,,,0.0,1.0,,0,4,2020,992,False,False
1074,Mirage,2022-01-01,https://mirageml.com/,"San Francisco, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","3D Technology, Apps, Artificial Intelligence (AI), Generative AI",18368.0,"Mirage is a web app that uses multi-modal AI to help designers search for or create the perfect image, video, audio, and 3D assets, instantly.",1-10,1.0,Seed,2023-03-09,1200000.0,Seed,1200000.0,,1-10,Private,,,,,,0,2,2022,1052,False,False
