,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid
10,Erudit,2020-01-01,https://www.erudit.ai,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Information Systems, Business Intelligence, Data Integration, Employment, Management Information Systems, Natural Language Processing, Psychology, Wellness",13042.0,"Track your company’s Turnover Risk, Burnout Risk, and Engagement levels; plus know the issues affecting your employees with Erudit’s cutting-edge tech solution. Erudit AI maximizes your data and empowers great executives to become even greater leaders by providing reliable, real-time analysis on teams and departments. With Erudit, you can data-power your decisions and ensure that they’re for the benefit of both your business and your people. We dream of teams that are happy, healthy, and thriving! So this passionate team of psychologists, AI experts, data analysts, engineers, and professionals are here to support you with one-of-a-kind technology that lets you stay in tune with employee sentiment, prevent burnout, and boost talent retention. Send us a message to book a demo and see for yourself how Erudit AI empowers executives to build happy, productive teams!",11-50,5.0,Early Stage Venture,2023-09-26,10000000.0,Series A,15314339.0,2.0,11-50,Private,,,0.0,1,,0,4,2020,10
29,Capsule,2021-01-01,https://capsule.video/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Other, Sales and Marketing, Science and Engineering, Software, Video","Artificial Intelligence (AI), Enterprise, Marketing, SaaS, Software, Video",13112.0,"Founded in 2021 by Champ Bennett and Joseph Jorgensen, Capsule is designed to help businesses meet the growing demand for video. Built with CapsuleScript, a first-of-its-kind markup language for video that automates video post-production and makes desktop-quality video possible from any device with a browser, Capsule makes it easy to crowdsource, edit and distribute video. Try it at Capsule.video. Capsule has raised funding from top investors in the AI and creative tools space, including Array Ventures, Bloomberg Beta, Swift Ventures, Clark Valberg (Founder of InVision), Amjad Masad (CEO, Replit), Arash Ferdowsi (CTO, Dropbox), Kyle Parrish (Head of Sales, Figma), Mike Mignano (ex-Head of Audio & Video, Spotify), Roy Raanani (Co-Founder, Chorus.ai) and Sahil Lavingia (Founder, Gumroad).",11-50,2.0,Seed,2023-02-14,5700000.0,Seed,7700000.0,2.0,11-50,Private,,,,,,0,3,2021,28
40,swivl.ai,2018-07-01,https://www.tryswivl.com,"Denver, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), SaaS, Self-Storage, Software",13159.0,"Even the best Self Storage operators often miss nearly 49% of all incoming communication that can turn into a sale, while wasting time on answering repetitive questions, instead of focusing on revenue generating activities. Introducing the Only AI Assistant in Self Storage. With an industry leading Natural Language Processing model, swivl can answer hundreds of questions regarding different self storage topics. swivl augments operating teams to understand what works and automatically tune property-level decisions every day to attract ready-to-lease customers. Operators leverage swivl's Proptech automation to power things like digital assistants, online self-service automation, website inventory recommendations, call center routing, and omnichannel experiences.  swivl’s AI Assistant averages an 80% automation rate, with more than 50,000 assisted reservations across 2,500 Self Storage locations.",1-10,5.0,Seed,2020-07-13,0.0,Seed,1300000.0,3.0,1-10,Private,,,,,,1,5,2018,39
41,Spinach.io,2021-01-01,https://spinach.io/,"Atlanta, Georgia, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Developer Tools, Enterprise Software, Generative AI, Productivity Tools, SaaS, Software",13160.0,"According to Gartner research, 80% of project management tasks will be run by AI by 2030, Spinach.io is making that a reality today. Backed by Y Combinator, Zoom and Atlassian, Spinach is the AI Project Manager for  development teams. A virtual team member that plugs into your existing tools like Zoom, Jira, Slack and Notion, joins your meetings, takes actionable notes and automates tasks based on the conversation.",1-10,4.0,Seed,2022-08-02,3470000.0,Seed,6220000.0,1.0,1-10,Private,,,,,,0,3,2021,40
44,Saturn Cloud,2019-08-27,https://www.saturncloud.io,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Cloud Infrastructure, Generative AI, Machine Learning, SaaS, Software",13169.0,"Saturn Cloud enables your team to build AI and ML models in the cloud, using whatever technology they need, including high-memory computing, GPU processors, and Dask clusters. Saturn Cloud supports Python, R, and nearly any other programming language. Visit www.saturncloud.io to see why companies like NVIDIA, Nestle, Custom Ink, Mercury Insurance and more choose Saturn Cloud to build AI.",11-50,3.0,Early Stage Venture,2021-08-17,3000000.0,Series A,9500000.0,2.0,11-50,Private,,,,,,0,4,2019,43
48,ActZero.ai,2019-01-01,http://www.actzero.ai,"Menlo Park, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, InsurTech, Machine Learning, Risk Management, Software",13189.0,"ActZero.ai is a software development company that builds an AI-driven security platform. The company develops an AI-driven security platform that enables to ingest scores of data to build tailored risk profiles — resulting in better, more precise protection. Artificial Intelligence can manage and contain threats at a fraction of the cost of traditional approaches. The Seattle, Washington-based company was founded in 2019.",51-100,2.0,Early Stage Venture,2022-01-14,0.0,Series A,40000000.0,2.0,51-100,Private,,,,,,1,5,2019,47
50,Amini,2022-11-01,https://www.amini.ai,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Navigation and Mapping, Science and Engineering, Software","Aerospace, Artificial Intelligence (AI), Geospatial, Machine Learning, Software",13195.0,Amini is a climate tech business that uses artificial intelligence and satellite technology to bridge Africa's environmental data.,1-10,2.0,Seed,2023-11-30,4000000.0,Seed,6000000.0,1.0,1-10,Private,,,,,,0,1,2022,49
57,Galvanick,2021-08-01,https://www.galvanick.com,"Los Angeles, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Cloud Security, Cyber Security, Network Security, Software",13214.0,"When it comes to securing Industrial Operations environments, we believe humans should always be in the loop as actions in the cyber-physical world have real consequences. Threats are increasing faster than we can hire and train employees. We provide an Intelligence Augmentation platform that acts as your “cyber-sidekick”.  Galvanick helps industrial companies secure their operations by reducing the time to detection of anomalous behavior on their most sensitive assets. The Galvanick cloud-native analysis platform aggregates telemetry from industrial environments and hosts systemic models that enable operators to quickly understand the difference between, and context around, both normal and abnormal behavior",1-10,2.0,Seed,2023-06-01,10000000.0,Seed,10000000.0,3.0,1-10,Private,,,,,,0,2,2021,56
83,Refuel.AI,2021-01-01,https://refuel.ai/team,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Data Integration, Information Technology, Internet, Software",13371.0,Refuel.AI focuses on infrastructure and tooling for teams building ML applications on top of unstructured data.,1-10,2.0,Seed,2023-06-15,5200000.0,Seed,10482000.0,,1-10,Private,,,,,,0,3,2021,81
86,Casana,2018-07-01,https://casanacare.com/,"Rochester, New York, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Medical, Medical Device",13374.0,"Casana is changing the way healthcare does business with a smart toilet seat that enables effortless, integrated, and consistent in-home health monitoring. The Heart Seat™ captures key clinical measurements, including heart rate, blood pressure, and blood oxygenation, to assist medical teams with monitoring chronic conditions beyond the four walls of the hospital. The Heart Seat will be a FDA-cleared medical device focused on managing chronic conditions. The seat currently has three key sensors: 1. ECG (Electrocardiogram) - A single-lead ECG made up of two electrodes measure the electrical activity of the heart. 2. PPG (Photoplethysmogram)v- Red and infrared LEDs are embedded into the seat and function similar to a standard finger pulse oximeter measuring the local blood volume. 3. BCG (Ballistocardiogram) - Four sensitive weight sensors are embedded in the bumpers of the seat which measure the mechanical activity of the heart.",51-100,6.0,Early Stage Venture,2022-01-21,39999969.0,Series B,56279969.0,2.0,51-100,Private,,,,,,0,5,2018,84
