Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Digified,https://www.crunchbase.com/organization/digified,2018-12-27,day,,"Cairo, Al Qahirah, Egypt",Digified is a fin-tech startup that provides Digital Identity Verification Solutions in Egypt and the Middle East.,"86,686",,Active,,,,,For Profit,http://www.digified.io,,https://www.linkedin.com/company/digifiedegypt/,"Digified is an Egyptian fin-tech start up (Reg-Tech) that provides Digital Identity Verification Technologies in Egypt, Africa and the Middle East. We thrive to be the leading Digital Identity provider across the region. Digified offers digital identity solutions that include but are not limited to; Arabic documents OCR, Documents fraud detection, face matching and anti-spoofing, government data bases authentication and AML",,"Europe, Middle East, and Africa (EMEA), Middle East, Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,,1,Ibrahim Hassan,11-50,1,Seed,2019-09-01,28000,USD,28000,Pre-Seed,28000,USD,28000,Pre-Seed,28000,USD,28000,28000,USD,28000,EFG EV Fintech,1,1,,,,,,,Private,,,,,,,,,,,,,,2.81%,31,,,,,,,,,,
Fleetsimplify,https://www.crunchbase.com/organization/fleetsimplify,2018-01-01,year,"Fleet Management, Software, Transportation","Nairobi, Nairobi Area, Kenya",Fleetsimplify is a fleet management platform designed to be a one-stop solution for all transport-related needs.,"86,690",,Active,,,,,For Profit,https://fleetsimplify.com/,https://twitter.com/FleetSimplify,https://www.linkedin.com/company/fleetsimplify/,"Fleetsimplify is a customizable fleet management app to connect vehicle fleet owners with potential drivers, source insurance policies, track and monitor repairs, etc.",https://www.facebook.com/fleetsimplify,"Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,"Software, Transportation",3,"Balqis Chepkwony, Kenny Awosika, Salim Omar",11-50,3,Seed,2023-06-20,150000,USD,150000,Non-equity Assistance,,,,Pre-Seed,,USD,,150000,USD,150000,"Alchemist Accelerator, Google for Startups",2,2,,,,,,,Private,,,,,,,,,,,,,,,6,1,,,,,,,,,
Ubio Labs,https://www.crunchbase.com/organization/ubio-labs-inc,2016-01-01,day,"Consumer Electronics, Manufacturing, Product Design, Retail","Bellevue, Washington, United States","Ubio Labs designs, develop and manufacturers the world's most advanced portable batteries and accessories.","86,696",$1M to $10M,Active,,,,,For Profit,http://www.ubiolabs.com,https://twitter.com/UbioLabs,https://www.linkedin.com/company/ubio-labs-inc.,"Ubio Labs designs and develops the world's most advanced power management solutions. Our products include power banks, high speed charging docks, battery generators and mobile accessory kits.  ​ We are obsessed with providing the most technically advanced and functional mobile power available anywhere.  Ubio's products are sold through leading national retail chains nationwide.",https://www.facebook.com/ubiolabsinc,"Greater Seattle Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Design, Hardware, Manufacturing",1,Jason Lemelson,11-50,1,Seed,2016-07-01,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,"Jason Lemelson, Spektra Capital, LLC.",,2,,,,,,,Private,,,,,,,,,,,,,,,34,,,17,0,1,,Vehicles,,,
Krux Analytics,https://www.crunchbase.com/organization/krux-analytics-inc,2016-01-01,year,"Analytics, Enterprise Software, Mining, SaaS, Software","Calgary, Alberta, Canada",Krux Analytics builds SaaS solutions for the metals and mining industries.,"86,697",Less than $1M,Active,,,,,For Profit,https://www.kruxanalytics.com/,,https://www.linkedin.com/company/krux-analytics/,"Krux Analytics connects operational drilling data and financial performance, allowing resource owners and service providers to discover new insights to not only effectively plan and budget for each site or project, but across their entire organization using built-in analytics.",https://www.facebook.com/Krux-Analytics-976807612500008/,,,,,,,,,,,,,,,,,,"Data and Analytics, Natural Resources, Software",1,Jody Conrad,11-50,1,,2016-08-01,500000,CAD,381441,Venture - Series Unknown,500000,CAD,381441,Venture - Series Unknown,500000,CAD,381441,500000,CAD,381441,,,,,,,,,,Private,,,,,,,,,,,,,,-84.29%,31,1,,,,,,,,,
Turbotech,https://www.crunchbase.com/organization/turbotech,2017-01-01,year,"Aerospace, Energy, Manufacturing","Toussus-le-noble, Ile-de-France, France",TURBOTECH is a French start-up that develops on-board electric generation solutions for hybrid-electric aircrafts.,"86,702",Less than $1M,Active,,,,,For Profit,http://www.turbotech-aero.com,https://twitter.com/turbotech_aero,https://www.linkedin.com/company/turbotechindustrie,"TURBOTECH is a French start-up that develops on-board electric generation solutions for hybrid-electric aircrafts. Our solution consists of a very light and compact 55 kW turbo-generator in which a micro-turbine directly drives a high speed generator. This device produces electricity from virtually any fuel source (biofuel, hydrogen, Jet-A1, diesel, gasoline, etc...). All the while, maintaining a very high efficiency thanks to a heat exchanger that recovers -usually wasted- exhaust heat energy. TURBOTECH also develops a small 100 hp Turboprop dedicated to light aircrafts (135 hp for helicopters). It is equipped with the same heat exchanger as the turbogenerator, for a fuel consumption equivalent to best-in-class piston engines while being much lighter, quieter and more reliable.",https://www.facebook.com/Turbotechaero,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,"Energy, Manufacturing, Science and Engineering",4,"Baptiste Guerin, Damien Fauvet, Jean-Michel Guimbard, Marc Nguyen",1-10,1,,2018-04-11,3000000,EUR,3711589,Venture - Series Unknown,3000000,EUR,3711589,Venture - Series Unknown,3000000,EUR,3711590,3000000,EUR,3711590,"GO CAPITAL, Safran Corporate Ventures",,2,,,,,,,Private,,,,,,,,,,,,,,-60.09%,29,,,,1,1,Combustion Apparatus; Combustion Processes,Machines and machine tools,78950,USD,78950
MPX Bioceutical,https://www.crunchbase.com/organization/mpx-bioceutical,2018-10-07,day,"Cannabis, Commercial, Manufacturing, Medical, Pharmaceutical","North York, Ontario, Canada",MPX Bioceutical Corporation’s mission is to become a leading commercial producer of medical marijuana & pharma-grade products.,"86,704",$10M to $50M,Active,2019-02-01,day,,,For Profit,http://mpxbioceutical.com/,,,"MPX Bioceutical Corporation’s mission is to become a leading commercial producer of medical marijuana and pharma-grade products in North America. We are committed to providing patients with consistent high quality, efficacious cannabis and other natural products while providing shareholders with an attractive rate of return on investment.",,Great Lakes,,,,,,,,,,,,,,,,,"Community and Lifestyle, Food and Beverage, Health Care, Manufacturing, Other",3,"BETH STAVOLA, RANDALL STAFFORD, Scott Boyes",101-250,2,IPO,2018-05-29,40000000,USD,40000000,Post-IPO Debt,26500000,USD,26500000,Post-IPO Equity,26500000,USD,26500000,66500000,USD,66500000,,,,1,Made Acquisitions,,,,,Public,2019-02-01,,,,,,,MPXI,https://www.crunchbase.com/ipo/mpx-bioceutical-ipo--739c9ff5,CSE - Canadian Securities Exchange,,,,,7,,,,,,,,,,
Atlas Holdings,https://www.crunchbase.com/organization/atlascard,2014-01-01,year,"Blockchain, Cryptocurrency, Finance, FinTech, Sharing Economy","New York, New York, United States",Atlas provides mobile banking online.,"86,707",$1M to $10M,Closed,,,,none,For Profit,http://atlas.money,https://twitter.com/atlastogether,https://www.linkedin.com/company/atlas-incorporated/,"Atlas provides mobile banking online. James Schuler and Mickey Costa founded it in 2014, with its headquarters in Malibu in California.",https://www.facebook.com/atlastogether/,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,"James Schuler, Mickey Costa",11-50,5,,2018-04-27,2000000,USD,2000000,Venture - Series Unknown,2000000,USD,2000000,Venture - Series Unknown,5395000,USD,5395000,5395000,USD,5395000,"Techstars, Partech, Chris Adelsbach, Boost VC, Draper Associates",2,12,,,,,,,Private,,,,,,,,,,,,,,,6,2,,12,,,,,11447,USD,11447
SSEM,https://www.crunchbase.com/organization/ssem,2014-07-01,day,"Apps, FinTech, Information Technology","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",SSEM is a tax management app.,"86,711",,Active,,,,,For Profit,https://ssem.kr/,,,,https://www.facebook.com/ssem.kr/,Asia-Pacific (APAC),,,,,,,,,,,,,,,,,"Apps, Financial Services, Information Technology, Software",,,,2,Early Stage Venture,2022-01-03,4000000000,KRW,3345377,Series A,4000000000,KRW,3345377,Series A,4000000000,KRW,3345377,4000000000,KRW,3345377,"Smilegate Investment, Mirae Asset Venture Investment, KTB Network, D3 Jubilee, DAOL Investment & Securities",,5,,,,,,,Private,,,,,,,,,,,,,,,16,,,,,,,,,,
Bamba,https://www.crunchbase.com/organization/bamba,2022-01-01,year,"Financial Services, Software","Johannesburg, NA - South Africa, South Africa",Bamba is an android application allowing micro-merchants across Africa.,"86,712",,Active,,,,,For Profit,https://getbamba.com,,https://www.linkedin.com/company/getbamba,"Bamba is an android application allowing micro-merchants across Africa to run their entire business utilizing their phones. It focuses on simple tools for merchants to manage their customers, get paid, payout as well as takeout cash advances against their future cash flow.",,"Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,"Financial Services, Software",1,Bastian Gotter,1-10,1,Seed,2022-05-18,3200000,USD,3200000,Seed,3200000,USD,3200000,Seed,3200000,USD,3200000,3200000,USD,3200000,"468 Capital, Presight Capital, Jigsaw VC, Laurin Hainy, MPGI",1,8,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
GPDQ,https://www.crunchbase.com/organization/gpdq,2015-01-01,year,"Health Care, Health Diagnostics, Home Health Care, Medical","London, England, United Kingdom","GPDQ delivers outstanding CQC-certified primary healthcare services by mobilising innovative NHS GPs, nurses, pharmacists.","86,713",,Active,,,,,For Profit,https://www.gpdq.co.uk/,https://twitter.com/GPDQUK,https://uk.linkedin.com/company/gpdq-limited,"GPDQ offer GP consultations, physiotherapy, mental health, audiology, health checks, blood tests, referrals, prescriptions and vaccinations and our service is available nationwide.",https://www.facebook.com/adoctordeliveredquick/,"Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,Health Care,2,"Anshumen Bhagat, Justin Peters",1-10,2,Early Stage Venture,2020-04-22,2000000,GBP,2464462,Series A,2000000,GBP,2464462,Series A,4000000,GBP,4962018,4000000,GBP,4962018,"ClearlySo, IW Capital",1,2,,,,,,,Private,,,,,,,,,,,,,,,23,,,19,,,,,,,
