,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
6381,Birch Biosciences,2021-01-01,https://www.birchbiosciences.com,"Portland, Oregon, United States","Biotechnology, Science and Engineering",Biotechnology,47519.0,"Birch Biosciences are used in the recycling process naturally and efficiently break down plastic. Unlike traditional recycling, the process produces virgin-quality, environmentally sustainable, and cost-competitive recycled outputs, enabling a truly circular plastics economy. The proprietary platform employs artificial intelligence, bioinformatics, and high-throughput screening techniques.",1-10,4.0,Seed,2023-02-22,1649992.0,Grant,2162324.0,,1-10,Private,,,,,,0,3,2021,6232,True
8411,Rootwurks,2021-01-01,https://www.rootwurks.com/,"Austin, Texas, United States","Community and Lifestyle, Education, Food and Beverage, Health Care, Software","Cannabis, E-Learning, Software",60217.0,"Rootwurks develops a learning experience platform (LXP) and compliance assessment tool to safeguard cannabis firms. The company was founded in 2021 by Chase Eastman and is headquartered in Austin, Texas, United States.",1-10,1.0,Seed,2022-03-31,3925000.0,Seed,3925000.0,1.0,1-10,Private,,,,,,0,3,2021,8180,True
8106,Cultured Decadence,2020-01-01,https://www.cultureddecadence.com/,"Madison, Wisconsin, United States","Biotechnology, Consumer Goods, Health Care, Information Technology, Science and Engineering","Beauty, Biotechnology, Health Care, Information Technology",58144.0,"Cultured Decadence is a cellular aquaculture startup creating novel methods to make crustacean products using cell culture and tissue engineering techniques. The company was founded in 2020 and based in Madison, Wisconsin.",1-10,4.0,M&A,2021-04-09,1600000.0,Pre-Seed,1700000.0,2.0,1-10,Private,,,,,,0,4,2020,7884,True
7549,Based,2021-01-01,https://getbased.com,"Encino, California, United States","Blockchain and Cryptocurrency, Information Technology, Other","Ethereum, Information Technology",54636.0,Based is a communication platform which is build over the NFT .,1-10,1.0,Seed,2022-08-03,3500000.0,Seed,3500000.0,,1-10,Private,,,,,,0,3,2021,7355,True
6991,Eve Financial,2019-01-01,https://www.eve.co/,"Lehi, Utah, United States","Financial Services, Other","Commercial, Finance, Financial Services",51263.0,"Eve Financial offers point of sale financing solutions to service companies in the US, with a focus on companies within dental, veterinary, automotive repair, home services and elective medical industries.",11-50,2.0,Seed,2022-03-18,3400000.0,Seed,4350000.0,1.0,11-50,Private,,,,,,0,5,2019,6821,True
10947,Mirio,2022-01-01,https://mirio.org,"San Francisco, California, United States","Apps, Information Technology, Software","Developer APIs, Information Technology, Software, Web Apps",78200.0,Mirio offers personalized demos for your API product in minutes.,1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,1-10,Private,,,,,,0,2,2022,10597,True
281,SYKY,2022-11-01,https://syky.com/,"Brooklyn, New York, United States","Blockchain and Cryptocurrency, Clothing and Apparel, Commerce and Shopping, Design, Other","Blockchain, Fashion, Marketplace",14286.0,SYKY is a next-generation luxury fashion platform.,1-10,1.0,Early Stage Venture,2023-01-17,10500000.0,Series A,10500000.0,,1-10,Private,,,0.0,0,,0,1,2022,278,True
2114,BluBracket,2019-01-01,https://www.blubracket.com,"Palo Alto, California, United States","Information Technology, Privacy and Security, Software","Cyber Security, Enterprise Software, Software",23877.0,"BluBracket is an app code scan platform that checks for security and integrity issues. BluBracket secures today’s most valuable and vulnerable enterprise asset—code. Founded by security veterans and backed by leaders in venture capital, BluBracket is the first comprehensive enterprise security solution for code in a software-driven world. Companies using BluBracket will be able to discover and secure their code environments while maintaining the innovation and speed they need to compete. BluBracket delivers security at the speed of code.",11-50,3.0,M&A,2021-05-13,12000000.0,Series A,18500000.0,2.0,11-50,Private,,,3.0,5.0,,0,5,2019,2072,True
12922,Soully Protocol,2022-07-06,https://soully.io,"New York, New York, United States","Blockchain and Cryptocurrency, Data and Analytics, Design, Internet Services, Other","Blockchain, Consumer Research, Web3",92985.0,"Web3 identity, DataFi, Consumer data",1-10,1.0,Seed,2023-02-05,1200000.0,Pre-Seed,1200000.0,,1-10,Private,,,,,,0,1,2022,12450,True
8459,Pixly,2019-08-15,https://pixly.ai,"Encinitas, California, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Other, Real Estate, Science and Engineering, Software","Architecture, Artificial Intelligence (AI), Civil Engineering, Collaboration, Construction, Enterprise Software, Photo Sharing, SaaS, Software",60467.0,"Pixly is B2B SaaS platform for documenting & collaborating on projects with photos, videos, 360 & AI. Pixly saves time and money, improves productivity, and reduces risk while enabling customers to build better and faster. Everything is time, date, and location stamped. Customizable tags become valuable data and can be used to assign and track tasks. Secure cloud storage with pdf reports and dashboards. Pixly serves the Architecture, Engineering & Construction (AEC), construction tech (contech),  insurance, and property management (proptech) industries.",1-10,2.0,Seed,2022-10-28,100000.0,Pre-Seed,235000.0,3.0,1-10,Private,,,1.0,0.0,Computing; Calculating,0,4,2019,8225,True
9603,Switchback Systems,2019-11-01,https://switchbacksys.com,"Santa Cruz, California, United States","Biotechnology, Health Care, Science and Engineering","Biopharma, Biotechnology, Life Science",68476.0,"Switchback Systems is an early-stage startup engaged in the rapid development of a highly scalable DNA synthesis platform. It focuses on dramatic minimization of time, cost, and waste, for utilization in a wide range of nucleic acid applications. The company was founded in 2019 by Mary Noe.",1-10,4.0,,2023-10-24,1724068.0,Venture - Series Unknown,7124066.0,1.0,1-10,Private,,,,,,1,4,2019,9314,True
5212,Mana Therapeutics,2018-10-18,https://www.manatherapeutics.com/,"Arlington, Virginia, United States","Biotechnology, Science and Engineering",Biotechnology,40448.0,"Educating Immune Cells, Eliminating Cancer. Our team of scientists, physicians, and advocates are passionate about one thing: harnessing our immune cells to combat cancer - conferring lifelong immunity to the disease. Meet the team charged with immune cell education and cancer elimination.",1-10,4.0,Early Stage Venture,2021-11-30,7500000.0,Debt Financing,49500000.0,1.0,1-10,Private,,,,,,0,5,2018,5104,True
8083,Seedscout,2020-01-01,https://www.seedscout.com,"Tempe, Arizona, United States","Community and Lifestyle, Internet Services, Other, Professional Services, Software","Consumer, Consumer Software, Professional Networking, Social Network",58034.0,"Seedscout is a professional network platform that provides information and data on startups and early stage companies. Seedscout provides a database of startups with information on their funding history, team, market, and product.",11-50,1.0,Seed,2022-04-06,435000.0,Pre-Seed,435000.0,1.0,11-50,Private,,,,,,0,4,2020,7862,True
6122,Forum3,2021-01-01,https://www.forum3.com/,"Seattle, Washington, United States","Blockchain and Cryptocurrency, Internet Services, Sales and Marketing, Software","Loyalty Programs, Software, Web3",45903.0,Forum3 is developing the first ever web3-powered universal loyalty platform for consumers and businesses.,1-10,1.0,Seed,2022-12-09,10000000.0,Seed,10000000.0,,1-10,Private,,,0,0.0,,0,3,2021,5982,True
6589,A-GAME Beverages,2020-01-01,https://drinkagame.com/,"Clermont, Florida, United States","Food and Beverage, Health Care, Sports","Food and Beverage, Sports, Wellness",48811.0,"A-GAME Beverages offers a hydraformulate that refuels, rehydrates, and reenergizes the body and mind. It provides 8 essential vitamins, electrolytes, minerals, and nutrients to keep the body at peak performance, without the need for any artificial flavors, sweetener, or dyes. This alternative to the everyday sports drink utilizes honey for energy and flavor, fruit and vegetable juice for coloring, and sea salt minerals as a natural and highly effective means of replenishing electrolyte levels.",11-50,2.0,,2021-12-16,9856623.0,Venture - Series Unknown,10662623.0,,11-50,Private,,,,,,1,4,2020,6432,True
12720,Mable,2019-01-01,https://meetmable.com/,"Boston, Massachusetts, United States",Commerce and Shopping,"E-Commerce, Wholesale",91465.0,"Mable is a mobile and web-based B2B wholesale e-commerce platform for grocers. The company was founded in 2019 and based in Boston, Massachusetts.",1-10,3.0,,2022-07-19,6000001.0,Venture - Series Unknown,17599996.0,1.0,1-10,Private,,,,,,1,5,2019,12258,True
10202,SupplyNow,2021-01-01,https://www.supplynow.org,"Cleveland, Ohio, United States","Food and Beverage, Software, Transportation","Food and Beverage, Logistics, Software, Supply Chain Management",72573.0,https://www.youtube.com/watch?v=ZHnliPpq3yg,11-50,4.0,Seed,2023-05-01,180000.0,Pre-Seed,840000.0,2.0,11-50,Private,,,,,,0,3,2021,9883,True
