,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
0,Anthropic,2021-01-01,https://www.anthropic.com,"San Francisco, California, United States","Artificial Intelligence, Information Technology, Machine Learning",101-250,2,"Anthropic is an AI-driven research company that focuses on increasing the safety of AI systems. Its research interests span multiple areas including natural language, human feedback, scaling laws, reinforcement learning, code generation, and interpretability. The initial product from the company is Claude, an AI helper for tasks of any size.","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",8.0,,2023-10-27,500000000.0,Corporate Round,3304000000.0,Private,,,0,2,,3,0,False
1,Cowbell Cyber,2019-01-03,https://cowbell.insure,"Pleasanton, California, United States","FinTech, Insurance, InsurTech",101-250,18,"Cowbell is a cyber insurance company for small and medium-sized enterprises (SMEs), providing adaptive cyber insurance with coverage that evolves with today's and tomorrow's threats. Cowbell's cyber policies are bundled with cyber risk resources that allow policyholders to continuously improve their cyber risk profile and prevent cyber incidents. In its unique AI-based approach to risk selection and pricing, Cowbell's continuous underwriting platform, powered by Cowbell Factors, compresses the insurance process from submission to issue to less than 5 minutes.  Cowbell is backed by 15 AM Best A- or higher rated (re)insurance partners and serves SMEs in 50 U.S. states and the District of Columbia. Cowbell Insurance Agency is currently licensed in 50 U.S. states and the District of Columbia. Cowbell Reinsurance Company is a licensed insurance captive in the State of Vermont.  For more information, please visit www.cowbell.insure Cowbell Cyber was founded in 2019 and is based in Pleasanton, California, United States.",Financial Services,4.0,Early Stage Venture,2023-11-01,25000000.0,Series B,148300000.0,Private,,,,,,5,1,False
2,Aisles,2020-01-01,https://aisles.app,"Portland, Oregon, United States","Artificial Intelligence, Customer Service, Retail Technology",11-50,28,Aisles is an AI-powered retail technology app that enhances the customer experience and simplifies the shopping experience.,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software",2.0,,2023-09-20,4000000.0,Undisclosed,14000000.0,Private,,,,,,4,2,False
8,Perplexity AI,2022-01-01,https://www.perplexity.ai,"San Francisco, California, United States","Artificial Intelligence, Search Engine, Software",1-10,43,"Perplexity is a search engine platform that uses artificial intelligence to provide large language models and search engines. The company's platform enables the development of beneficial artificial general intelligence, as well as an open-source environment that is accessible to the public, allowing clients to develop skills and knowledge in artificial intelligence.","Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software",3.0,Seed,2023-10-24,,Pre-Seed,28700000.0,Private,,,,,,2,3,False
11,Sierra Space,2021-01-01,https://sierraspace.com,"Louisville, Colorado, United States","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",1001-5000,57,"Sierra Space is a pure-play commercial space company at the forefront of innovation and the commercialization of space in the Orbital Age, building platforms in space to benefit life on Earth. With more than 30 years and 500 missions of space flight heritage, the company is enabling the future of space transportation with Dream Chaser, the world’s only winged commercial spaceplane. Under construction at its Colorado headquarters and expected to launch in 2023 on the first of a series of NASA missions to the International Space Station, Dream Chaser can safely carry cargo—and eventually crew—to on-orbit destinations, returning to land on compatible commercial airport runways worldwide. Sierra Space is also building an array of in-space destinations for low-Earth orbit (LEO) commercialization, including the LIFETM habitat (Large Integrated Flexible Environment), a three-story commercial habitation and science platform designed for LEO. Both Dream Chaser and LIFE are central components of Orbital Reef, a mixed-use business park in LEO being developed by principal partners Sierra Space and Blue Origin that is expected to be operational by the end of the decade.","Manufacturing, Science and Engineering, Transportation",2.0,Early Stage Venture,2023-09-26,290000000.0,Series B,1690000000.0,Private,,,35,54,Aircraft; Aviation; Cosmonautics,3,4,False
14,Saronic,2022-09-01,https://www.saronic.com,"Austin, Texas, United States","Artificial Intelligence, Drones, Government, Marine Technology, Military, National Security",11-50,61,"Saronic is building cutting-edge unmanned surface vehicles that enable maritime security and domain awareness by combining best-in-class hardware, software and artificial intelligence into one scalable, fully integrated platform.","Artificial Intelligence, Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software",2.0,Early Stage Venture,2023-10-09,55000000.0,Series A,70000000.0,Private,,,0,0,,1,5,False
24,Character.ai,2021-01-01,https://beta.character.ai,"Menlo Park, California, United States","Artificial Intelligence, Information Technology, Software",11-50,98,"Character.ai provides open-ended conversational applications in which users create characters and converse with them. The company aims to create dialogue agents with a broad range of uses in entertainment, instruction, general question-answering, and other areas. The business specializes in neural language models, which can be used as tools for creativity, idea generation, language learning, and a variety of other tasks. Users can access dialogue agents that are propelled by in-house technology.","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",2.0,Early Stage Venture,2023-03-23,150000000.0,Series A,150000000.0,Private,,,,,,3,6,False
30,Island,2020-08-01,https://island.io,"Dallas, Texas, United States","Cyber Security, Enterprise Software, Information Technology, Web Browsers",101-250,116,"Island is a cyber startup that provides a web browser for the enterprise to allow work to flow freely while remaining secure. It gives organizations complete control, visibility, and governance over the last mile helping the enterprise with improved performance and helping businesses to minimize their cyber footprint and create a safe space for work to flow, boosting both security and productivity.","Information Technology, Internet Services, Privacy and Security, Software",6.0,Late Stage Venture,2023-10-23,100000000.0,Series C,385000000.0,Private,,,,,,3,7,False
37,Imbue,2021-01-01,https://imbue.com,"San Francisco, California, United States","Artificial Intelligence, Machine Learning, Robotics",11-50,130,Imbue is an independent research lab that trains foundational models to develop AI agents that can code. The company's AI models are optimized to perform well on its internal benchmarks for reasoning.,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",5.0,Early Stage Venture,2023-10-19,12000000.0,Series B,232000000.0,Private,,,0,0,,3,8,False
40,Stoke Space,2019-01-01,https://www.stokespace.com,"Kent, Washington, United States","Aerospace, Product Design, Space Travel",101-250,134,"Stoke Space is a developer of reusable rockets that provide access to and from any orbit to the satellite industry. These reusable rockets are designed to make space access sustainable and scalable. They are also used to deliver satellites, that can be reused, are low-cost, on-demand, and designed to fly daily. These reusable rockets help clients launch space missions and deliver new satellites to space in a sustainable and cost-efficient manner.","Design, Science and Engineering, Transportation",9.0,Early Stage Venture,2023-10-05,100000000.0,Series B,176199949.0,Private,,,,,,5,9,False
44,Writer,2020-08-30,http://writer.com,"San Francisco, California, United States","Content, Natural Language Processing, Productivity Tools, Software, Virtual Assistant",51-100,147,"Writer is a full-stack generative AI platform that helps businesses use large language models to generate writing and content that can be used across different departments, including operations, product, sales, human resources, marketing, and more. The company's platform snaps into your business data sources and delivers accurate answers and content that are fine-tuned on your own data and follow your own AI guardrails.","Artificial Intelligence, Data and Analytics, Media and Entertainment, Software",3.0,Early Stage Venture,2023-09-18,100000000.0,Series B,126000000.0,Private,,,1,1,Computing; Calculating,3,10,False
54,Adept AI,2022-01-01,https://adept.ai,"San Francisco, California, United States","Artificial Intelligence, Machine Learning, Software",11-50,167,"Adept AI is a research and product AI lab that automates software processes for developers. It's similar to robotic process automation (RPA), or software robots that use a combination of automation, computer vision, and machine learning to automate repetitive tasks like filing forms and responding to emails. Adept is creating general intelligence by allowing humans and computers to collaborate creatively.","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",2.0,Early Stage Venture,2023-03-14,350000000.0,Series B,415000000.0,Private,,,,,,2,11,False
59,Siro,2020-01-01,https://www.siro.ai/,"New York, New York, United States","Information Technology, Software",11-50,177,"The majority of the 5.7 million sales professionals in the U.S. work in field sales (i.e., any sales process involving a handshake), but most receive ZERO on-the-job coaching because it is too time-intensive. We believe that with the right tooling, Field Sales can become the most accessible path to financial freedom. Siro records reps’ in-person conversations and highlights the most critical moments to let reps hear how top performers handle difficult customer objections and empower coaches to support reps to a degree never before possible. We have already helped thousands of sales reps. Help us serve millions more.","Information Technology, Software",3.0,Early Stage Venture,2023-10-25,14000000.0,Series A,18000000.0,Private,,,,,,4,12,False
74,Nirvana Insurance,2021-01-01,http://www.nirvanatech.com,"San Francisco, California, United States","Financial Services, InsurTech, Internet of Things",51-100,223,"Nirvana is a technological platform that offers cutting-edge insurance and risk management to not only assist our customers in securing their commercial interests but also enhance public safety. Nirvana Insurance, which provides a technology-driven platform for commercial fleet insurance that uses data from sensors on trucks, announced the public launch of its services for the truck industry.","Financial Services, Internet Services",3.0,Early Stage Venture,2023-10-17,57000000.0,Series B,82200000.0,Private,,,,,,3,13,False
81,Acceldata,2018-08-01,http://acceldata.io,"Campbell, California, United States","Big Data, Enterprise Software, Infrastructure",101-250,258,"Founded in 2018, Campbell, CA-based Acceldata has developed the world's first enterprise data observability platform to help enterprises build and operate great data products. Acceldata's solutions have been embraced by global customers, such as Dun & Bradstreet, AT&T, T-mobil, Oracle, PubMatic, PhonePe (Walmart), DBS, and many more. Acceldata investors include Insight Partners, March Capital, Industry Ventures, Lightspeed, Sorenson Ventures, Sanabil, and Emergent Ventures. Contact us to learn about the benefits of data observability. The company was founded in 2018 and is based in San Jose, California.","Data and Analytics, Other, Software",5.0,Late Stage Venture,2023-10-10,10000000.0,Series C,105560000.0,Private,,,,,,5,14,False
84,Oxide Computer Company,2019-09-09,https://oxide.computer,"Emeryville, California, United States","Cloud Infrastructure, Embedded Systems, Hardware, Information Technology, Software",11-50,267,"Oxide Computer Company is a maker of server racks for on-premises compute infrastructure. The company uses technology to bring cloud hyper-scale innovations in the areas of density, efficiency, cost, reliability, manageability, and security of hardware and software, as well as the ability to segment racks into zones or regions based on where the rack is located, allowing companies and IT professionals to access computer infrastructure built with innovation and to deliver hyper-scale cloud computing.","Hardware, Information Technology, Internet Services, Science and Engineering, Software",3.0,Early Stage Venture,2023-10-26,44000000.0,Series A,94000000.0,Private,,,0,2,,4,15,False
