;nr.;company;Founded Date;website;Headquarters Location;Industry Groups;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount Currency (in USD);Last Funding Type;Total Funding Amount Currency (in USD);IPO Status;IPO Date;Valuation at IPO Currency (in USD);IPqwery - Patents Granted;IPqwery - Trademarks Registered;IPqwery - Most Popular Patent Class;age;founding_year;org_uuid
x;1;Sail Pay;08.08.20;https://www.sailpay.io;Austin, Texas, United States;Financial Services;2.0;Seed;27.07.22;1000000.0;Pre-Seed;1375000.0;Private;;;;;;3;2020;15434
;4;Levelpath;01.01.22;https://www.levelpath.com;San Francisco, California, United States;Information Technology, Software, Transportation;2.0;Early Stage Venture;18.09.23;30000000.0;Series A;44500000.0;Private;;;0;1.0;;1;2022;286
;5;Art Blocks;01.01.21;https://artblocks.io;Marfa, Texas, United States;Blockchain and Cryptocurrency, Media and Entertainment, Other;1.0;;07.10.21;6000000.0;Venture - Series Unknown;6000000.0;Private;;;0.0;1.0;;2;2021;3869
x;16;GM Labs;01.01.21;https://gm.xyz/;Miami, Florida, United States;Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Payments, Software;1.0;;03.03.22;5999956.0;Venture - Series Unknown;5999956.0;Private;;;;;;2;2021;6338
x;71;Adaptilens;01.01.19;https://adaptilens.com/;Boston, Massachusetts, United States;Health Care;3.0;Seed;12.11.20;1600000.0;Seed;1600000.0;Private;;;;;;4;2019;13997
;92;Epsilon3;01.01.21;https://www.epsilon3.io;Los Angeles, California, United States;Information Technology, Other, Software, Transportation;5.0;Early Stage Venture;20.06.22;15000000.0;Series A;18825000.0;Private;;;;;;2;2021;13651
x;109;Earth Brands;01.01.21;https://earthbrands.earth/;New York, New York, United States;Consumer Goods, Manufacturing, Sustainability;3.0;;25.10.23;6179664.0;Venture - Series Unknown;9406664.0;Private;;;;;;2;2021;2200
;114;Prolocor;01.01.20;https://prolocor.com;Philadelphia, Pennsylvania, United States;Biotechnology, Health Care, Science and Engineering;2.0;Seed;16.08.22;3200000.0;Seed;5200000.0;Private;;;;;;3;2020;5037
;114;SnackMagic;01.01.20;http://www.snackmagic.com;Long Island City, New York, United States;Administrative Services, Commerce and Shopping, Food and Beverage, Transportation;1.0;Early Stage Venture;09.04.21;15000000.0;Series A;15000000.0;Private;;;;;;3;2020;3604
;136;Angle Health;01.01.19;https://www.anglehealth.com;San Francisco, California, United States;Financial Services, Health Care;3.0;Early Stage Venture;25.01.23;58000000.0;Series A;62000000.0;Private;;;0;0.0;;4;2019;1360
;148;Cloud Water Filters;01.05.21;https://www.cloudwaterfilters.com/;San Diego, California, United States;Apps, Consumer Electronics, Food and Beverage, Hardware, Information Technology, Internet Services, Mobile, Software, Sustainability;2.0;Seed;12.10.21;1500000.0;Seed;2300000.0;Private;;;1.0;1.0;Physical Or Chemical Processes Or Apparatus In General;2;2021;9324
x;148;ReviR Therapeutics;01.01.21;http://www.revirtx.com;San Francisco, California, United States;Biotechnology, Health Care, Science and Engineering;1.0;Seed;17.01.22;20000000.0;Seed;20000000.0;Private;;;;;;2;2021;6620
;168;Raisonance;01.01.20;https://raisonance.ai/;Greenwood Village, Colorado, United States;Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software;1.0;Seed;11.08.22;2500000.0;Seed;2500000.0;Private;;;;;;3;2020;11236
x;197;GoMeat Services;14.05.18;https://www.gomeat.io/;Bridgewater, New Jersey, United States;Commerce and Shopping, Food and Beverage, Transportation;1.0;;06.09.23;250000.0;Venture - Series Unknown;250000.0;Private;;;;;;5;2018;12057
x;206;Dough;01.01.18;https://www.joindough.com;Boston, Massachusetts, United States;Community and Lifestyle, Professional Services, Social Impact;3.0;Seed;08.02.19;1400000.0;Seed;1400000.0;Private;;;;;;5;2018;15470
;216;Shiru;01.01.19;https://www.shiru.com/;Oakland, California, United States;;4.0;Early Stage Venture;20.10.22;10000000.0;Convertible Note;40500000.0;Private;;;;;;4;2019;2226
;271;Highbeam;01.01.20;https://www.highbeam.co/;New York, New York, United States;Financial Services, Information Technology, Internet Services, Professional Services;2.0;Seed;13.02.23;10000000.0;Debt Financing;17000000.0;Private;;;0.0;0.0;;3;2020;3071
;302;PredictNow.ai Inc.;16.07.20;https://www.predictnow.ai/;Ontario, California, United States;Artificial Intelligence, Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Payments, Science and Engineering, Software;1.0;Seed;01.11.20;750000.0;Pre-Seed;750000.0;Private;;;;;;3;2020;9359
x;306;Staffing Engine;01.11.20;https://staffingengine.ai/;Boulder, Colorado, United States;Administrative Services, Professional Services;2.0;;07.07.22;;Corporate Round;3000000.0;Private;;;0;2.0;;3;2020;7443
;322;Ledge;01.01.22;https://www.ledge.co;New York, New York, United States;Financial Services, Information Technology, Payments;2.0;Seed;16.02.23;9000000.0;Seed;9000000.0;Private;;;;;;1;2022;3086
;325;Nunbelievable;01.01.19;https://nunbelievable.com/;Nyack, New York, United States;Food and Beverage;2.0;;16.06.23;3577570.0;Venture - Series Unknown;3597570.0;Private;;;;;;4;2019;10211
x;328;Juniver;01.01.21;https://www.joinjuniver.com;New York, New York, United States;Health Care;2.0;Seed;07.06.23;62224.0;Grant;1062224.0;Private;;;;;;2;2021;9793
;350;O/D Vision;01.01.21;;Sanibel, Florida, United States;Consumer Electronics, Financial Services, Hardware, Health Care, Sports;1.0;Seed;06.09.23;301550.0;Seed;301550.0;Private;;;;;;2;2021;14210
;353;Dragonboat;01.04.18;https://dragonboat.io;Santa Clara, California, United States;Other, Software;4.0;Early Stage Venture;07.12.21;12000000.0;Series A;15000000.0;Private;;;0.0;3.0;;5;2018;3674
x;373;Wallbit;01.07.21;https://wallbit.io;San Francisco, California, United States;Financial Services, Lending and Investments, Payments;2.0;Seed;01.07.23;1500000.0;Seed;1500000.0;Private;;;;;;2;2021;6682
x;383;Sage;01.01.20;https://www.hellosage.com/;New York, New York, United States;Apps, Community and Lifestyle, Software;2.0;Early Stage Venture;25.10.23;15000000.0;Series A;24000000.0;Private;;;24;37.0;Computing;;;
;393;Selia;09.04.20;http://www.selia.co;Claymont, Delaware, United States;Health Care, Mobile;2.0;;16.02.22;;Venture - Series Unknown;300000.0;Private;;;;;;3;2020;6965
;408;Photonpharma;01.01.18;https://photonpharmaceuticals.com/;Fort Collins, Colorado, United States;Biotechnology, Health Care, Science and Engineering;1.0;Seed;16.03.22;2907823.0;Seed;2907823.0;Private;;;;;;5;2018;13706
