,Founded Date,Industry Groups,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),age,founding_year,source_x,text_len,closest_snapshot,ai_keyword_count,matched_keywords,Headquarters State,funding_bin,keyword_bin,fund_success,AI_bin,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Last Funding Type ORD,Series_A_bin,Number of Employees ORD
2,2021-08-01,Software,1.0,0.0,0.0,2,2021,0,103.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230104182038/https://promptlayer.com/', 'timestamp': '20230104182038'}",0.0,0,New York,False,False,False,False,False,False,False,True,False,1.0,False,1.0
3,2019-01-01,"Commerce and Shopping, Education, Manufacturing",0.0,0.0,0.0,5,2019,0,7306.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200804084215/https://american-safetyllc.com/', 'timestamp': '20200804084215'}",0.0,0,Louisiana,False,False,False,False,False,True,False,False,False,0.0,False,3.0
4,2020-01-01,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",0.0,0.0,0.0,4,2020,0,195537.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201208225605/https://www.nerdees.com/', 'timestamp': '20201208225605'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,2.0
6,2018-07-06,Real Estate,0.0,0.0,0.0,5,2018,0,1684.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200808111354/https://www.ziegel.es/', 'timestamp': '20200808111354'}",0.0,0,California,False,False,False,False,True,False,False,False,False,0.0,False,3.0
10,2019-08-01,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",0.0,0.0,0.0,4,2019,0,207.0,,0.0,0,California,False,False,False,True,False,True,False,False,False,0.0,False,2.0
11,2020-01-01,Health Care,0.0,0.0,0.0,4,2020,0,22534.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201101084127/https://www.lynchphysicaltherapy.com/', 'timestamp': '20201101084127'}",0.0,0,Maryland,False,False,False,False,False,False,True,False,False,0.0,False,2.0
13,2020-01-31,"Financial Services, Media and Entertainment, Professional Services",1.0,30000.0,30000.0,4,2020,0,60.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210824035620/https://www.squirlfinancial.com/', 'timestamp': '20210824035620'}",0.0,0,Michigan,True,False,False,False,False,False,True,False,False,1.0,False,1.0
14,2021-01-01,"Commerce and Shopping, Events, Food and Beverage, Media and Entertainment",0.0,0.0,0.0,3,2021,0,3137.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211018180246/https://tilldeathdousparty.com/', 'timestamp': '20211018180246'}",0.0,0,Nevada,False,False,False,False,False,False,False,True,False,0.0,False,1.0
22,2021-01-01,"Software, Transportation",1.0,15000000.0,15000000.0,3,2021,0,124.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220102083804/https://depodone.com/', 'timestamp': '20220102083804'}",0.0,0,Delaware,True,False,False,False,False,False,False,True,False,2.0,False,2.0
26,2020-04-01,"Biotechnology, Science and Engineering",1.0,0.0,0.0,3,2020,0,2431.0,,0.0,0,Maryland,False,False,False,False,False,False,True,False,False,2.0,False,1.0
28,2018-07-07,"Media and Entertainment, Other, Social Impact",0.0,0.0,0.0,5,2018,0,26912.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20181225062955/https://www.greatlakescfa.org/', 'timestamp': '20181225062955'}",0.0,0,Michigan,False,False,False,False,True,False,False,False,False,0.0,False,2.0
30,2019-01-01,"Administrative Services, Professional Services, Software",0.0,0.0,0.0,5,2019,0,2502.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200411075136/https://cambiome.com/', 'timestamp': '20200411075136'}",0.0,0,Texas,False,False,False,False,False,True,False,False,False,0.0,False,1.0
31,2020-01-01,"Education, Health Care, Sports",0.0,0.0,0.0,4,2020,0,22663.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220711163713/https://monarchclubs.com/', 'timestamp': '20220711163713'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,2.0
32,2021-01-01,"Internet Services, Media and Entertainment, Sports",0.0,0.0,0.0,3,2021,0,2627.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220403035936/https://www.clubsync.com/', 'timestamp': '20220403035936'}",0.0,0,Texas,False,False,False,False,False,False,False,True,False,0.0,False,2.0
34,2021-03-19,"Internet Services, Sales and Marketing, Software",0.0,0.0,0.0,2,2021,0,3974.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211102170309/https://seomojo.io/', 'timestamp': '20211102170309'}",0.0,0,Delaware,False,False,False,False,False,False,False,True,False,0.0,False,1.0
37,2022-08-29,Software,1.0,0.0,0.0,1,2022,0,980.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230111084016/https://grammable.ai/', 'timestamp': '20230111084016'}",1.0,ai,California,False,True,False,False,False,False,False,False,True,1.0,False,1.0
38,2019-01-01,"Apps, Food and Beverage, Information Technology, Software",0.0,0.0,0.0,5,2019,0,2753.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200929061600/https://orderex.app/', 'timestamp': '20200929061600'}",0.0,0,Missouri,False,False,False,False,False,True,False,False,False,0.0,False,2.0
