,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
161,Transcera,2020-01-01,https://www.transcera.bio,"Jamaica Plain, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering",4.0,Seed,2021-10-21,,Pre-Seed,1000004.0,Private,,,0.0,0.0,,3,2020,11000,False
167,Inflection Points,2021-01-01,https://www.inflectionpoints.co,"Beaverton, Oregon, United States",Information Technology,1.0,Seed,2022-07-13,12600000.0,Seed,12600000.0,Private,,,,,,2,2021,11001,False
169,DripDoc,2023-01-01,https://dripdoc.co/,"Orlando, Florida, United States",Health Care,1.0,Seed,2023-10-24,117000.0,Seed,117000.0,Private,,,,,,0,2023,11002,False
181,GrowthSpace,2018-03-17,https://www.growthspace.com,"New York, New York, United States","Administrative Services, Education, Information Technology, Professional Services, Software",6.0,Early Stage Venture,2022-08-16,25000000.0,Series B,44001000.0,Private,,,,,,5,2018,11003,False
183,Striveworks,2018-08-02,https://striveworks.com,"Austin, Texas, United States","Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",1.0,,2023-06-01,32279220.0,Venture - Series Unknown,32279220.0,Private,,,0.0,0.0,,5,2018,11004,False
185,Wealthface,2018-06-01,https://wealthface.com/,"New York, New York, United States","Financial Services, Information Technology, Internet Services, Lending and Investments, Messaging and Telecommunications",3.0,Seed,2021-08-30,1000000.0,Seed,2500000.0,Private,,,,,,5,2018,11005,False
187,Fluent Pet,2020-06-01,https://fluent.pet,"San Diego, California, United States","Community and Lifestyle, Information Technology, Internet Services",1.0,Seed,2021-10-21,742514.0,Seed,742514.0,Private,,,,,,3,2020,11006,False
188,Avestor Inc.,2018-07-01,https://www.avestorinc.com,"Portland, Oregon, United States",Financial Services,2.0,Seed,2022-10-01,400000.0,Seed,900000.0,Private,,,,,,5,2018,11007,False
189,Seaspire Skincare,2018-01-01,https://www.seaspireskincare.com/,"Boston, Massachusetts, United States",Health Care,3.0,Seed,2022-05-05,3000000.0,Seed,3247617.0,Private,,,,,,5,2018,11008,False
196,BlockSpan,2022-06-01,https://blockspan.com/,"Pittsburgh, Pennsylvania, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1.0,Seed,2023-06-12,1400000.0,Pre-Seed,1400000.0,Private,,,,,,1,2022,11009,False
