company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Bizhaven,2019-01-01,http://bizhaven.com/,"Sacramento, California, United States",Administrative Services,Human Resources,522784.0,"HR is our passion and we took action in creating a haven that allows our biz owners to focus on theirs. Our goal is to create and implement the best HR practices into your business to give back your peace of mind and time. No one starts a business to be an HR expert or worry about state and federal law, but because they found a passion and took action.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,38776,False,False
PodcastAI,2023-04-04,https://podcastai.com,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software","Artificial Intelligence (AI), Podcast",78004.0,PodcastAI is an upcoming Podcast artificial intelligence project. PodcastAI's mission is to reduce the time and cost it takes to produce a podcast episode by up to 80%.,1-10,1.0,Seed,2023-11-12,25000.0,Pre-Seed,25000.0,2.0,1-10,Private,,,,,,0,2023,10572,False,False
FaithNetwork,2019-01-01,https://www.faithnetwork.com,"San Antonio, Texas, United States","Information Technology, Software","Information Technology, Software",2102257.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,73268,False,False
HealthBridgeHQ,2022-09-23,https://www.healthbridgehq.com,"Los Angeles, California, United States",Health Care,Health Care,75878.0,HealthBridgeHQ is a med tech company supporting Providers and Patients in improving practice outcomes and patient outcomes.,1-10,1.0,Seed,2024-01-16,1000000.0,Angel,1000000.0,,1-10,Private,,,,,,0,2022,10299,False,False
ToMarket,2018-01-01,http://tomarket.farm,"Arvada, Colorado, United States","Agriculture and Farming, Commerce and Shopping, Food and Beverage, Sales and Marketing, Sustainability","Agriculture, AgTech, Farming, Food and Beverage, Local, Marketplace, Organic, Organic Food, Restaurants",79583.0,"To Market is a platform that connects purveyors of local edible goods directly to restaurants and chefs that need them the most. The company serves as a simple online marketplace for sourcing and selling the highest quality local goods. For farmers, the company allows them to track their inventory online and it automatically becomes available to local Chefs for easy online ordering. Meanwhile for the chefs, they can have and order the finest products from the local farms, just a click away with easy online ordering and tracking.",1-10,6.0,Seed,2023-03-01,30000.0,Seed,170000.0,1.0,1-10,Private,,,,,,0,2018,10762,False,False
OpenWork,2021-01-01,https://www.openworkapp.com,"New York, New York, United States","Apps, Community and Lifestyle, Internet Services, Professional Services, Software","Apps, Professional Networking, Social Network",499897.0,OpenWork is a platform that aims to help professionals unlock new opportunities; especially for those overlooked in the job marketplace.,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,37894,False,False
Filejet,2018-01-01,https://www.filejet.com,"Newport Beach, California, United States","Financial Services, Professional Services, Software","Accounting, Compliance, Legal, Software",48040.0,"Filejet new client audits show that 44% have entities they were unaware of, and 66% have non-compliant entities – due to registered agent errors or entity management software that issues reminders but doesn’t do the work. With a unique combination of automated compliance software with concierge service, Filejet automates the filing of annual reports, business registrations, and DBA filings – so you never have to worry about entity management compliance. The Filejet dashboard provides instant visibility into your entities, fees, filing dates, documents, and org charts that can be shared with your colleagues. Filejet Inc. was launched in 2019 and is based in Southern California.",11-50,3.0,,2023-07-11,1404743.0,Venture - Series Unknown,3904743.0,1.0,11-50,Private,,,,,,1,2018,6313,False,False
Coinapoly,2018-01-10,https://www.coinapoly.com/,"New York, New York, United States",Financial Services,"Asset Management, Financial Services",176956.0,"Coinapoly is a real estate investment platform for the Indian market. The company's platform simplifies granular real estate investing via its mobile application to buy, sell and manage properties and deliver a rate of investment by managing risk through transparency and liquidity, enabling investors to invest in the market with confidence.",1-10,1.0,Seed,2020-01-13,100000.0,Seed,100000.0,1.0,1-10,Private,,,,,,0,2018,20412,False,False
Hired! Career Solutions,2020-01-01,http://hiredcareersolutions.com,"Houston, Texas, United States",Professional Services,Career Planning,785599.0,"Hired! Career Solutions is a career development firm that offers programs that empower professionals to interview better, make more money, and land the careers they deserve. Professionals gain access to resume writing, expert interview preparation, digital resources, and e-learning platforms.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,46868,False,False
C.C. Busy,2018-01-01,https://www.ccbusy.com,"Pittsburgh, Pennsylvania, United States","Education, Health Care, Software","Child Care, Education, Software, Virtual Assistant",157103.0,"C.C. Busy assists child care providers use voice assistants to log each child’s daily activities, making that log available to parents and regulators. Paperwork doesn’t take care of children, people do! Child care providers spend too much time on required paperwork, distracting them from the care of children. C.C. Busy saves child care providers time, allows providers to focus on children, keeps providers in compliance and facilitates communication with parents.",1-10,5.0,Seed,2019-04-29,25000.0,Convertible Note,185000.0,2.0,1-10,Private,,,,,,0,2018,18848,False,False
Clear Mortgage,2020-01-01,https://clearmortgage.com,"Bountiful, Utah, United States","Financial Services, Lending and Investments","Commercial Lending, Financial Services, Lending",1069339.0,,251-500,,,,,,,,251-500,Private,,,,,,6,2020,53166,False,False
808 Talent Source,2021-01-01,https://www.808talentsource.com,"Orlando, Florida, United States","Administrative Services, Internet Services, Professional Services, Sales and Marketing","Business Development, Recruiting, Social Media Management, Staffing Agency",1280596.0,"808 Talent Source provides business staffing solutions such as software development, web design and development, copywriting, graphic design, search engine optimization, online marketing, and social media management.",11-50,,,,,,,,11-50,Private,,,,,,6,2021,57412,False,False
Loyalty Brands,2018-01-01,https://loyaltybrands.com,"Virginia Beach, Virginia, United States","Financial Services, Other","B2B, Financial Services, Professional Services",832604.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,48142,False,False
Lusso Realty,2018-01-01,https://lussorealty.com,"Arden, North Carolina, United States","Other, Real Estate","Professional Services, Property Management, Real Estate",1186576.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,55273,False,False
Weave Markets,2018-01-01,https://www.weavemarkets.com/,"Jersey City, New Jersey, United States","Financial Services, Lending and Investments, Sales and Marketing","Digital Marketing, Trading Platform",707968.0,,1-10,1.0,Seed,2020-01-01,,Seed,,,1-10,Private,,,,,,2,2018,44712,False,False
Red Buffalo Media,2019-08-01,https://www.redbuffaloconsulting.com,"Oklahoma City, Oklahoma, United States","Advertising, Sales and Marketing",Advertising,2717226.0,We are a full scale digital marketing agency that specializes in local SEO and social media management.,1-10,,,,,,,,1-10,Private,,,,,,6,2019,85759,False,False
Farcaster,2021-01-01,https://www.farcaster.xyz/#start,"Los Angeles, California, United States","Commerce and Shopping, Information Technology, Internet Services","E-Commerce, Information Technology, Internet",45881.0,,1-10,1.0,Seed,2023-01-01,,Seed,,,1-10,Private,,,,,,2,2021,5981,False,False
Valley Ridge Apartments,2018-01-01,https://www.valleyridgeapts.com,"El Paso, Texas, United States",Real Estate,"Property Management, Real Estate, Rental Property",2666636.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,84930,False,False
Fleur de Lis Communications,2020-01-01,https://www.fdlcomms.com,"Louisville, Kentucky, United States","Media and Entertainment, Professional Services, Sales and Marketing, Video","Consulting, Content, Public Relations, Video",2979208.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,89392,False,False
AW Vanguard,2020-01-01,https://awvanguard.com,"Denver, Colorado, United States",Professional Services,"Business Development, Consulting, Management Consulting",686134.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,44052,False,False
