website,text_len,source,text,type,closest_snapshot,closest_snapshot_time,snapshot_in_window
https://www.bluesummitmedical.com,2983,crunchbase," Blue Summit Medical Group 0 Skip to Content Home About Us get care Open Menu Close Menu Home About Us get care Open Menu Close Menu Home About Us get care The Best in Care BlueSummit Medical Group is here to provide the best medical care on the get care Who we BlueSummit Medical Group is a regional healthcare company with one main goal: to empower healthcare professionals to provide unparalleled care to our About us What we Our healthcare philosophy revolves around Because we care about our patients, their families, and our providers, we’ve worked hard to establish partnerships spanning across Providing patient care is at the center of everything we Our We’re patient BlueSummit Medical Group exists to take the burden of daily administrative tasks that comes with running a business off the shoulders of our healthcare partners, allowing them to focus their energy on patient The numbers speak for We’re ready to Get care Questions? Join our Become a partner . BlueSummit Medical Group, Copyright ©2023   BlueSummit Medical Group 0 Skip to Content Open Menu Close Menu Open Menu Close Menu Consolidating Home Healthcare We acquire, manage and innovate Home Health VISION Our vision is to become the undisputed leader in our industry by acquiring established Home Health Agencies and expanding organically through a client focused Why Home Healthcare? Fragmented Home Healthcare is an extremely fragmented industry with roughly ,000 licenses in the The Top agencies all have less than a 6% individual market share and the agencies outside of the Top have less than a 1% individual market That leaves about % of the market being dominated by small home health providers that employ fewer than workers in their Motivated Sellers Did you know an estimated ,000 baby boomers are retiring each day? With baby boomer business owners now reaching retirement age, there’s a plethora of highly motivated Our acquisition strategy is to vet and acquire the agencies with great track records and sound growth Leverage We can use the SBA or commercial debt to intelligently leverage transactions and increase ROI (the cost of debt today is much cheaper than equity). Our access to debt financing is growing as we continue to prove ourselves as Banks are overflowing with cash and are looking for good operators to entrust with Growth The total Market Cap is $281.8B and is forecasted to grow to $515.6B by There is Total Home Health claims per There is expected to be a % CAGR (Compound Annual Growth Rate) and the population of + will grow from % to % of the entire population by LEADERSHIP Jeff Knighton, CPA M&A Accounting Barbara Sico Home Healthcare Operations Douglas Densmore M&A Legal Josie Ross Home Healthcare HR Charley Majors M&A Advisory Chairman Amy Breslin Home Healthcare M&A Jayson Norris President Tim Bradbury Director OUR CLIENT’S CONTACT US Lynchburg, VA Name First Name Last Name Email Subject Message Thank you! Copyright © • BlueSummit Medical Group • All Rights ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211222155008/https://www.bluesummitmedical.com/', 'timestamp': '20211222155008'}",20211222155008.0,1.0
https://www.denverlivestream.com,7400,crunchbase,"Wayback Machine We will keep fighting for all libraries - stand with us! Close banner Can You Chip In? Please don t scroll past thisâthe Wayback Machine is fighting for universal access to quality The Internet Archive, which runs this project, relies on online donations averaging $15.58 to help us keep the record We d be deeply grateful if you d join the one in a thousand users that support us We understand that not everyone can donate right now, but if you can afford to contribute this Wednesday, we promise it will be put to good Our resources are crucial for knowledge lovers everywhereâso if you find all these bits and bytes useful, please pitch Can You Chip In? Please don t scroll past The Internet Archive (which runs this project) relies on online donations averaging $15.58 to keep the record We understand that not everyone can donate right now, but if you can afford to contribute this Wednesday, we promise it will be put to good If you find all these bits and bytes useful, please pitch Continue Remind Me Send me an email reminder Email address (required) Please enter a valid email First name Last name Submit By submitting, you agree to receive emails from the Internet Your privacy is important to We do not sell or trade your information with Internet Archive logo A line drawing of the Internet Archive headquarters building faÃ§ade. Donate icon An illustration of a heart shape ""Donate to the archive"" Search icon An illustration of a magnifying Search icon An illustration of a magnifying Upload icon An illustration of a horizontal line over an up pointing Upload User icon An illustration of a person s head and Sign up | Log in Web icon An illustration of a computer application window Wayback Machine Texts icon An illustration of an open Books Video icon An illustration of two cells of a film Video Audio icon An illustration of an audio Audio Software icon An illustration of a "" floppy Software Images icon An illustration of two Images Donate icon An illustration of a heart shape Donate Ellipses icon An illustration of text More Hamburger icon An icon used to represent a menu that can be toggled by interacting with this Internet Archive Audio Live Music Archive Librivox Free Audio Featured All Audio This Just In Grateful Dead Netlabels Old Time Radio RPMs and Cylinder Recordings Top Audio Books & Poetry Computers, Technology and Science Music, Arts & Culture News & Public Affairs Spirituality & Religion Podcasts Radio News Archive Images Metropolitan Museum Cleveland Museum of Art Featured All Images This Just In Flickr Commons Occupy Wall Street Flickr Cover Art USGS Maps Top NASA Images Solar System Collection Ames Research Center Software Internet Arcade Console Living Room Featured All Software This Just In Old School Emulation Games Historical Software Classic PC Games Software Library Top Kodi Archive and Support File Vintage Software APK Software Software Library Software Sites Tucows Software Library Shareware Software Capsules Compilation Images ZX Spectrum DOOM Level CD Books Books to Borrow Open Library Featured All Books All Texts This Just In Smithsonian Libraries FEDLINK (US) Genealogy Lincoln Collection Top American Libraries Canadian Libraries Universal Library Project Gutenberg Children s Library Biodiversity Heritage Library Books by Language Additional Collections Video TV News Understanding 9 11 Featured All Video This Just In Prelinger Archives Democracy Now! Occupy Wall Street TV NSA Clip Library Top Animation & Cartoons Arts & Music Computers & Technology Cultural & Academic Films Ephemeral Films Movies News & Public Affairs Spirituality & Religion Sports Videos Television Videogame Videos Vlogs Youth Media Search the history of over billion web pages on the Search the Wayback Machine Search icon An illustration of a magnifying Mobile Apps Wayback Machine (iOS) Wayback Machine (Android) Browser Extensions Chrome Firefox Safari Edge Subscription Explore the Collections Learn More Build Collections Save Page Now Capture a web page as it appears now for use as a trusted citation in the Please enter a valid web address About Blog Projects Help Donate Contact Jobs Volunteer People Sign up for free Log in Search metadata Search text contents Search TV news captions Search radio transcripts Search archived web sites Advanced Search About Blog Projects Help Donate Donate icon An illustration of a heart shape Contact Jobs Volunteer People DONATE Latest Show All The Wayback Machine has not archived that Click here to search for all archived pages under https: www.denverlivestream.com . The Wayback Machine requires your browser to support JavaScript, please email if you have any questions about The Wayback Machine is an initiative of the Internet Archive , a (c)(3) , building a digital library of Internet sites and other cultural artifacts in digital Other projects include Open Library & . Your use of the Wayback Machine is subject to the Internet Archive s Terms of Use .   DenverLiveStre",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211226063147/https://www.denverlivestream.com/', 'timestamp': '20211226063147'}",20211226063147.0,1.0
https://lunarlab.io,19694,crunchbase,"UX Design and Product Strategy Portfolio - LunarLab Skip to the content Services Services UX & UI Design Consulting Services Product Strategy UI Design Services UX Research Project Management Consulting Services UX Audit Portfolio About About Diversity, Equity, and Inclusion Join Our Team Blog Contact us Services Services UX & UI Design Consulting Services Product Strategy UI Design Services UX Research Project Management Consulting Services UX Audit About About Diversity, Equity, & Inclusion Join Our Team Portfolio Blog Contact Services Services UX & UI Design Consulting Services Product Strategy UI Design Services UX Research Project Management Consulting Services UX Audit Portfolio About About Diversity, Equity, and Inclusion Join Our Team Blog Contact us Services Services UX & UI Design Consulting Services Product Strategy UI Design Services UX Research Project Management Consulting Services UX Audit About About Diversity, Equity, & Inclusion Join Our Team Portfolio Blog Contact Portfolio UX design and product strategy Our Work UX Design Portfolio LunarLab UX design portfolio includes UI design, product design, UX research, product strategy, and project We’ve worked across many different types of products in a wide variety of industries including mobile apps, web apps, desktop software, hardware, and Check out our work below, or learn more about what we can do for you . Uptick Marketing Research Responsive Design UX Design Web Design CAVU App Responsive Design UX Design ListList App Responsive Design UX Design Croux App Branding Mobile Apps UX Design DontHaggle App Branding Mobile Apps Responsive Design UX Design Mealvana App Branding Mobile Apps UX Design Fundrage App Research UX Design SPENDiD App Branding Responsive Design UX Design Web Design HAPS App Branding Mobile Apps UX Design SoundSafe App Branding Inclusive Design Mobile Apps UX Design Mission Control App Branding Mobile Apps UX Design Hear from our clients Testimonials “ Elizabeth and Kelli are very professional and They executed our vision better than we had Their design really made us stand out and we eventually won the Alabama Launchpad with our meal planning To the startup founders out there - it may sound counterintuitive - but involving a professional designer early on would save you money and time in a long run by reducing the work you have to The iterative process of lean development should start with a good design and a mindset which always put user experience in the ” Xuan Huang cofounder of Milkman & Mealvana “ Elizabeth and Kelli are amazing at transforming a nebulous idea into something you can actually see and interact They took the time to really understand the scope of the project and the intent of the If you re looking for incredible UX visualizations, look no further! ” Emily Hart MotionMobs “ Elizabeth and Kelli have been a pleasure to work professional, responsive, and patient with client questions and Highly recommend! ” Craig Hill SPENDiD “ I cannot say enough good things about LunarLab! Their project manager rapidly developed a deep understanding of our platform and what we She has built processes, filled the project manager role for our development team, bridged business <- development communications, improved visibility into the development work being done, and so much I would highly recommend LunarLab for any project of any scale! ” Zack Hovatter Sprockets Ready to get started? Have an idea you want to launch? LunarLab is here to Get in touch and we’ll make your idea come to 🚀 Contact us Make Contact LunarLab provides UX and Product Strategy consulting (205) Birmingham, AL Dribbble Linkedin Instagram Twitter Facebook Quick Links Services Portfolio About Blog Contact Us Join Our Team Privacy Policy Our Work Uptick Marketing Research Responsive Design UX Design Web Design CAVU App Responsive Design UX Design ListList App Responsive Design UX Design Croux App Branding Mobile Apps UX Design DontHaggle App Branding Mobile Apps Responsive Design UX Design Mealvana App Branding Mobile Apps UX Design LunarLab, LLC © A space, for   Our Commitment to Diversity, Equity, and Inclusion - LunarLab Skip to the content Home Services Portfolio About About Diversity, Equity, and Inclusion Join Our Team Blog Contact us Home Services About About Diversity, Equity, & Inclusion Join Our Team Portfolio Blog Contact Home Services Portfolio About About Diversity, Equity, and Inclusion Join Our Team Blog Contact us Home Services About About Diversity, Equity, & Inclusion Join Our Team Portfolio Blog Contact Diversity, Equity, and Inclusion A Space, for Be the change How we re taking action At LunarLab, we are passionate about diversity, equity, and inclusion for These are more than just words – they’re the guiding principles that are woven into the DNA of our company From the very beginning, LunarLab’s core values were written to celebrate, support, and empower the diverse voices of our workplace and our We will continue to speak out often ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220127182441/https://lunarlab.io/', 'timestamp': '20220127182441'}",20220127182441.0,1.0
https://www.covalent.earth,6276,crunchbase,"Contact | Covalent Home Standard Contact Home Standard Contact Get in touch Our friendly team would love to hear from Name Company Name Email Message I agree to the terms and conditions Send message © All rights Privacy Policy   Home | Covalent Home Standard Contact Home Standard Contact News Join us in Carbon Unbound Summit! Forward Crediting Platform for Permanent Carbon Removal Contact Us Scroll to see more What We Offer A Unified Standard Our Covalent Certification Standard allows CDR projects to issue forward credits with independent validation, giving buyers trusted, Blockchain Verified Our registry tracks projects transparently and securely on the blockchain, including transactions by storage operators, monitoring & measurement companies, and validation verification Permanence Our rigorous eligibility criteria ensures permanent carbon removal from the atmosphere while providing immediate funding for CDR project Features platform for carbon credit management Features platform for carbon credit management Party Independent Validation Build trust with your buyers for your forward credits by receiving a third party independent validation based on Covalent Certification Forward Financing Issue credits with future vintages, and sell forward credits to generate Web3 Integration Integrate your credits with web3 applications natively and access Distribution Sell your credits on different platforms seamlessly, and manage your inventory across all channels in one Public Registry Build a single source of truth for your projects and record your project details & milestones on the Intergenerational Equity By ensuring the permanent storage of sequestered carbon in the reservoir, Covalent prevents the transfer of the climate crisis to future generations, actively contributing to a sustainable MRVR Experience a robust Monitoring, Reporting, Verification, and Remediation (MRVR) process that guarantees transparency and accountability in carbon removal Permanent Benefit from lasting climate impact with our focus on permanent Carbon Dioxide Removal (CDR) technologies, ensuring storage of captured Experience seamless and transparent project tracking with our platform, providing data, transaction visibility and easy access for documentation for all Registry Covalent offers a comprehensive and transparent registry, allowing for public access to detailed project information, documentation, transaction records, storage and remediation notifications for certified carbon removal A Comprehensive Solution Introducing the Covalent Certification Standard The Covalent Certification Standard is a unified framework for engineered removal, providing project developers with the standardized method they need to navigate the challenging carbon removal By certifying projects that meet our rigorous standards for permanence, monitoring, and quantification, we aim to foster trust in the carbon removal market and accelerate the adoption of these critical Simultaneous blockchain records Stakeholder inclusivity Join us in accelerating the carbon removal revolution Stay with the latest news Don t miss out on the exciting launch of Join our mailing list to be the first to know when we go live! Notify Me! © All rights Privacy Policy   Home | Covalent Home Standard Contact Home Standard Contact News Join us in Carbon Unbound Summit! Forward Crediting Platform for Permanent Carbon Removal Contact Us Scroll to see more What We Offer A Unified Standard Our Covalent Certification Standard allows CDR projects to issue forward credits with independent validation, giving buyers trusted, Blockchain Verified Our registry tracks projects transparently and securely on the blockchain, including transactions by storage operators, monitoring & measurement companies, and validation verification Permanence Our rigorous eligibility criteria ensures permanent carbon removal from the atmosphere while providing immediate funding for CDR project Features platform for carbon credit management Features platform for carbon credit management Party Independent Validation Build trust with your buyers for your forward credits by receiving a third party independent validation based on Covalent Certification Forward Financing Issue credits with future vintages, and sell forward credits to generate Web3 Integration Integrate your credits with web3 applications natively and access Distribution Sell your credits on different platforms seamlessly, and manage your inventory across all channels in one Public Registry Build a single source of truth for your projects and record your project details & milestones on the Intergenerational Equity By ensuring the permanent storage of sequestered carbon in the reservoir, Covalent prevents the transfer of the climate crisis to future generations, actively contributing to a sustainable MRVR Experience a robust Monitoring, Reporting, Verification, and Remediation (MRVR) process that guarantees transparency and accountability in carbon removal P",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230603113323/https://covalent.earth/', 'timestamp': '20230603113323'}",20230603113323.0,1.0
https://www.ardentmentoring.org,136,crunchbase, For full functionality of this site it is necessary to enable Here are the instructions how to enable JavaScript in your web browser . ,startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211126162205/http://ardentmentoring.org/', 'timestamp': '20211126162205'}",20211126162205.0,1.0
https://orbitalelectric.systems/,4224,crunchbase," Contact Orbital Electric Systems Created with barcode camera cancel Created with code cogs computer envelope error google info lock face copy 4 Created with Group Created with Group Copy Created with paintbrush passport phone Path Created with upload wrench Home About Jobs Contact Contact Us We’d love to hear from you If you’d like more information about our product, or to get in touch with our sales team, you’re welcome to email us at Stay in touch Sign up below to get notified about product updates and Sign Up Copyright Orbital Electric Systems   About Orbital Electric Systems Created with barcode camera cancel Created with code cogs computer envelope error google info lock face copy 4 Created with Group Created with Group Copy Created with paintbrush passport phone Path Created with upload wrench Home About Jobs Contact About Tesla meets John Orbital is designing and building the next generation of American work vehicles, capitalizing on the unique advantages of electric: clean and quiet, with unmatchable torque and Our team is armed with deep electrical engineering, automotive, and software Our Team Lukasz Kosewski CEO & Founder Luke bootstrapped and helped numerous startups in Canada before forming PagerDuty’s infrastructure team, and then taking on a tech lead role at Netflix automating datacenter outage His handiwork continues to manage of tens of millions of dollars of assets to this He combined his software experience with motorcycle manufacturing at , where he worked on key systems and pushed the Livewire out the door, and is excited to take on his greatest challenge yet: heading Orbital’s efforts to make electric Luke graduated with honors and holds a degree in Computer Science from the University of Owen Emry CTO & Founder Owen has been involved with EVs since the dawn of modern EV technology, from his time at AC Propulsion (the company that built the powerplant of the original Tesla Roadster), to running Alta Motors’ embedded software & hardware efforts, to becoming the principal engineer in charge of ’s EV Owen’s years of experience in the EV field and deep connections with industry professionals make him perfect for helming Orbital’s engineering Owen holds a in Computer Science from James Madison Nick Schaeferle Electrical Engineering Nick is an accomplished controls and electrical engineer, having worked at Tesla, Alta, and Mainspring Energy before taking on powersports vehicle challenges at Tom Gage Battery Engineering Tom brings a wealth of market and institutional knowledge from his + years of auto industry involvement, and helped run battery programs at AC Propulsion, EV Grid, and INDI Greg Tada Vehicle Design Greg joins Orbital from Piaggio’s Advanced Design Center, and has designed motorcycles, quads, and UTVs for numerous companies including Polaris Indian, Kawasaki, and Eric Carey Battery Design With over years of mechanical engineering design experience, Eric joins Orbital to support groundbreaking design on batteries and vehicle power electronics and Darren Croke Software Engineering Darren has delivered embedded software for over two decades with a tour of duty including Tesla, Alta, Tiveni, and Rivian, and is an expert on vehicle microcontroller Our R&D Space Our team is always , prototyping and experimenting in our R&D lab in Milpitas, Advisors Orbital is guided by a team of industry leaders in the electric vehicle Martin Eberhard Cofounder of Tesla and its original CEO and chairman, Martin Eberhard is an influential inventor, investor, and Grant Ray A seasoned marketing executive with a wealth of consumer knowledge from stints as VP at Group Technologies, SERES EV, Alta Motors, and other EV John ""Duke"" Dukellis A venture capitalist, CEO COO of payments companies, and a director of product management in Google’s profitable Copyright Orbital Electric Systems   Orbital Electric Systems Created with barcode camera cancel Created with code cogs computer envelope error google info lock face copy 4 Created with Group Created with Group Copy Created with paintbrush passport phone Path Created with upload wrench Home About Contact Orbital Electrifying America’s duty Sign up here to be notified of future releases and Sign Up ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221230065759/https://orbitalelectric.systems/', 'timestamp': '20221230065759'}",20221230065759.0,1.0
https://meridian-sg.com,17000,crunchbase,"ESTIMATING – MERIDIAN SERVICES GROUP Skip to content MERIDIAN SERVICES GROUP World Class Project Management Consulting, Estimating and Engineering Services HOME ABOUT US SERVICES CONSULTING ESTIMATING ENGINEERING PROJECT SUPPORT MAINTENANCE CAREER OPPORTUNITIES CONTACT US NEI Strategic Project Management Lessons Learned and Best Practices NEI References NEI Case Studies ESTIMATING Scope Development & Cost Estimating Meridian Services Group believes that the project estimate is the foundation of an effective project controls program and set out in to develop a comprehensive capability to provide good independent estimates for major With multiple early successes Meridian Services Group decided to open an office in Chattanooga, Tennessee dedicated to the continuous improvement and advancement of our estimating In the fall of we opened the doors of our Chattanooga Center for Estimating Today, after years of continuous refinement and numerous clients our estimating process and capability to deliver our services represent the current State of the The Meridian Services Group Estimate Development Process Works for all projects – conceptual to design issued – all phases Provides truly independent results Estimators have relevant field experience Structured and disciplined process Detailed & well documented scope development We estimate the whole project Accurate pricing through research Identifies and evaluates the risks Determines contingency & reserve needs Professionally packaged (Executive & working reports) Produces a real baseline document for effective project controls and change management Estimate details provided in working reports formatted to your specifications Your WBS, schedule activity, commodity or other coding applied Our 8 Step Process Step 1 – Project Data Collection & Review Step 2 – Site visit and Walkdown Step 3 – Detailed Scope Development Step 4 – Line Item input to WinEstimator® Step 5 – Unit Rate & Pricing Application Step 6 – Peer, Mgmt & Client Reviews Step 7 – Risk analysis Step 8 – Final Report & Presentation Corporate Headquarters Parkside Commons, Suite Greensboro, GA Phone: Engineering and Estimating Center of Excellence Northgate Park Lane, Suite Chattanooga, TN Phone: Required Employee Posting: Transparency in Coverage (Effective 7 1 2022) https: alliedbenefit.sapphiremrfhub.com New Mexico Paid Sick Leave (Healthy Workplaces Act) (Effective 7 1 2022) Click Here Copyright © MERIDIAN SERVICES GROUP   SERVICES – MERIDIAN SERVICES GROUP Skip to content MERIDIAN SERVICES GROUP World Class Project Management Consulting, Estimating and Engineering Services HOME ABOUT US SERVICES CONSULTING ESTIMATING ENGINEERING PROJECT SUPPORT MAINTENANCE CAREER OPPORTUNITIES CONTACT US NEI Strategic Project Management Lessons Learned and Best Practices NEI References NEI Case Studies SERVICES Services Overview Meridian Services Group ability to provide a framework and approach to connect management expectations and activities is the key to success for any project or This framework is made up of various elements and management routines that creates an environment in which effective communications, project teamwork, and application of management systems and tools can flourish to produce effective We bring a proven experience, competency and set of resource skills to assist customers for successfully “Connecting Vision and Plans with Performance and ” Meridian Services Group provides a cadre of core services and resources needed for successful planning and execution of large projects spanning the life cycle phases of engineering, licensing, construction, commissioning, operations, outage modifications, decommissioning, remediation, and demolition: Program planning, industry lessons learned, best practices, & integration Project controls, conceptual engineering, estimating, scheduling, reporting, & risk management Financial analysis, budgeting, contract administration, & change control Policies & procedures development, training, & information technology Project management, construction management, & outage management Corporate Headquarters Parkside Commons, Suite Greensboro, GA Phone: Engineering and Estimating Center of Excellence Northgate Park Lane, Suite Chattanooga, TN Phone: Required Employee Posting: Transparency in Coverage (Effective 7 1 2022) https: alliedbenefit.sapphiremrfhub.com New Mexico Paid Sick Leave (Healthy Workplaces Act) (Effective 7 1 2022) Click Here Copyright © MERIDIAN SERVICES GROUP   Wayback Machine We will keep fighting for all libraries - stand with us! Close banner Can You Chip In? Please don t scroll past thisâthe Wayback Machine is fighting for universal access to quality The Internet Archive, which runs this project, relies on online donations averaging $15.58 to help us keep the record We d be deeply grateful if you d join the one in a thousand users that support us We understand that not everyone can donate right now, but if you can afford to contribute this Wednesda",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220105071042/https://meridian-sg.com/', 'timestamp': '20220105071042'}",20220105071042.0,1.0
http://www.me2tv.com/index.html,1645,crunchbase," ME2TV - Home (210) Home Solutions Me2WebTV Me2Mobile Features FAQs About Us Contact Us Me2Mobile Create your own channel on the GO! Direct from your smartphone! Followers can watch you on their mobiles, tablets or PCs Me2WebTV Simple, Quick and cost effective Broadcast yourself from your laptop Invite people on your shows from their PCs Viewers can watch online or through mobile Radio Video channels Social Experience Live chat with viewers Facebook twitter integration News, sports, talks sections Accessible on Mobile Professional, customizable, unbranded Include your own logo, change skin theme. HD Streaming Broadcast at the best streaming quality, up to (HD) in Live Vod and 7 linear TV Stream live, upload large multimedia files, and make them immediately available in live or Increase Storage Store all the videos you like with the extra free space included and activate more space at very convenient Customized Player Your player will have your company s logo and automatically redirect viewers to your SEO The ME2WebTV is optimized to facilitate the search engines indexing process, and includes a dynamic sitemap RSS + Share Embed Share videos Integrated RSS feed generator + Social bookmarking buttons + embed and link codes for every video, so they can be easily included on any third party Website + Share on social Facebook Comments system integration Users will be able to write comments about your videos using the Facebook Comments Social Comment Moderation You will also be able to associate your Facebook user ID or App ID in order to easily moderate the published Home Solutions Features FAQs About Contact © All Rights ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220309230653/http://me2tv.com/index.html', 'timestamp': '20220309230653'}",20220309230653.0,1.0
https://avenew.com,2526,crunchbase," Avenew – Avenew Who We Are Building Better Roads Faster™ | Building the Future of Infrastructure Avenew™ is building the future of infrastructure – addressing the cost of ownership, quality, sustainable construction methods and We are an asset management company that assists communities and private enterprises on preventative road maintenance and Extraordinary Environments Deserve Extraordinary Roads Product Offerings Reduce total cost of ownership over decades with roadway focus Improve roadway inspection and management to achieve quality conditions Increase attraction of roads to create a welcoming, vibrant ecosystem and stimulate business activity Minimize disruption to traffic flow and inconveniences associated with routine road construction Plus Premium Tech Plus For communities who desire improved road network quality at a lower Decrease burden of managing roads Reduced cost of ownership Improved road network quality Premium For premium roadways in areas of economic These roadways serve as part of economic development and quality of Decrease burden of managing roads Reduced cost of ownership Improved road network quality Enhanced green construction methods Heightened quality of road for heightened quality of place Tech Placement and maintenance and inspection of feature to Plus or Premium offerings Install capabilities Team CEO Joe McGuinness Joe McGuinness was most recently Commissioner of the Indiana Department of Transportation, appointed in January by Governor Eric Holcomb, and served for five He is a lifelong Johnson County resident and has been actively involved in transportation and infrastructure planning in central Indiana his entire Notably, Joe served as mayor of Franklin from , where he implemented innovative infrastructure concepts and oversaw a significant resurgence in the downtown Joe enjoys spending time with family, coaching his children in sports, and taking an active role in his Founder Micah Vincent Micah Vincent serves as Chief Operating Officer for Heritage Growth at The Heritage Prior to joining The Heritage Group in , Micah served as the Director of the Office of Management and Budget for the State of Indiana, where he oversaw financial and technology operations for the Micah received a bachelor’s degree from the Krannert School of Management at Purdue University and a law degree from Indiana University Robert McKinney School of Micah and his wife, Sherri, have three Previous Next Linkedin Envelope Intech Wy, Indianapolis, IN For Business Inquiries: ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220218141945/http://avenew.com/', 'timestamp': '20220218141945'}",20220218141945.0,1.0
https://www.duey.com,1326,crunchbase," About Duey Product Use cases Privacy Pricing Request Access Mi ssion Improve access to healthcare Company About Â© Duey, All rights   Duey | Enabling Healthcare Solutions Product Use cases Privacy Pricing Request Access One All Health Wh o do we connect with? and many Bu ild the future of Pr escriptions Leverage your patients prescription data to help make informed Learn more On boarding Use your patients existing health records to make sure onboarding is fast and Learn more He althy Living Integrate your patients realtime health data directly into your Learn more Pr ivacy at the Coming soon Your patients are in control of what they want to This allows you to ensure that you have patient Learn more Pr icing to help you Bo nsai connected patients for Learn how the Duey API works and validate your product before Request Access Includes: Community support Up to connected patients Webhooks Oa k No Just Start growing your integration and only pay for what you Request Access Includes: Everything in Bonsai No limit on connected patients Email support Re dwood Got volume? We got Custom made pricing solutions that work with your Request Access Includes: Everything in Oak Tailored pricing to your needs Dedicated support team Integration support Re ady to get going? Request Access Company About Â© Duey, All rights ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220609092113/https://www.duey.com/', 'timestamp': '20220609092113'}",20220609092113.0,1.0
