company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Mitraloka,2022-02-01,https://mitraloka.id,"Menan, Idaho, United States","Commerce and Shopping, Other, Sales and Marketing","Local Business, Marketplace, Small and Medium Businesses",1206401.0,"We are building the Operating System of franchising, start from the marketplace where brands can offer franchise opportunities and potential franchisees can find better businesses to operate in Indonesia. As a franchisee is also just another small business operator with less than 20 employees, we believe in the positive socio-economic impact of franchising that helps create more jobs opportunities thus improving the property of the community around them. One franchise at a time.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,56153,False,False
Pooch Paper,2019-01-01,https://www.poochpaper.com/,"New York, New York, United States","Community and Lifestyle, Manufacturing, Sustainability","Manufacturing, Pet, Recycling",1421415.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,61025,False,False
Quick Energy,2022-01-01,https://www.quickenergytx.com/,"Houston, Texas, United States","Energy, Other, Sales and Marketing","Energy, Local Business, Service Industry",1050406.0,"Welcome to Quick Energy, your trusted partner for Energy Services in Texas. We fetch you energy plans for both, residential and commercial customers across Texas. Now say goodbye to higher prices and poor service, and let our friendly team guide you to a reliable and affordable energy solution. With our bargaining power and commitment to quality, we can offer some of the best rates in Texas, backed by an exceptional customer experience. Experience straightforward pricing and hassle-free sign-up today. Join Quick Energy and let's make a positive impact on Texas while saving on your energy costs.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,52733,False,False
WarehouseQuote,2019-01-01,https://www.warehousequote.com ,"Riverside, Missouri, United States","Other, Transportation","B2B, Transportation, Warehousing",463434.0,"WarehouseQuote is an intelligent warehousing platform that offers businesses an efficient and cost-effective warehouse network, backed by data and supported with logistics expertise. Driving clarity, growth, and innovation by designing and executing agile supply chains. Their mission is to drive clarity, growth, and innovation by designing and executing agile supply chains for companies of any size.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,36506,False,False
Mister Advertising,2019-01-01,http://www.misteradvertising.com,"Miami, Florida, United States","Advertising, Internet Services, Sales and Marketing","Advertising, SEM",2952843.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,88303,False,False
Colton Alexander,2019-01-01,https://www.coltonalexander.com,"Boulder, Colorado, United States","Financial Services, Media and Entertainment","Advice, Finance, Financial Services",199347.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,22069,False,False
Borges Media,2019-01-01,https://www.borgesmedia.com/,"Stephenville, Texas, United States","Advertising, Sales and Marketing","Advertising, Marketing, Outdoor Advertising",1187426.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,55261,False,False
Pilatus Capital,2020-01-01,https://pilatus.capital/,"San Francisco, California, United States","Financial Services, Lending and Investments",Venture Capital,257859.0,"Pilatus Capital assists early-stage businesses in developing and commercializing high-impact technologies. Headquartered in San Francisco, California, United States.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2020,26272,False,False
ARC,2019-01-01,https://www.arc-credit.com,"Miami, Florida, United States","Financial Services, Lending and Investments","Credit, Financial Services, Insurance",1539030.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,63429,False,False
3 Wings Digital,2022-01-01,https://www.3wingsdigital.com/,"Salt Lake City, Utah, United States","Design, Internet Services, Platforms, Sales and Marketing","Brand Marketing, Content Marketing, Digital Marketing, Email Marketing, Facebook, Google, Marketing, SEO, Social Media Marketing, Web Design",552939.0,"Our unwavering mission is to propel your brand to new heights through strategic and innovative digital solutions. With a firm belief in the power of three core pillars - SEO, GMB Optimization, and Social Media Marketing, complemented by our exceptional prowess in Web Designing, we empower businesses across the entire United States to soar above the competition.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,39819,False,False
Monstro,2021-03-01,https://www.monstro.com,"West Palm Beach, Florida, United States","Education, Financial Services, Professional Services, Software","Accounting, EdTech, Finance, FinTech, InsurTech, Legal Tech, Personal Finance, Wealth Management",192643.0,"Monstro is a revolutionary finance app that provides independent, personalized guidance to help people optimize their financial, legal, and tax life. Monstro empowers, inspires, and protects clients while helping them save money, make money, and save time.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2021,21585,False,False
Funza,2020-01-01,https://funza.com,"Claymont, Delaware, United States","Education, Software","E-Learning, Education, Software, Training",1247805.0,"FUNZA is a hybrid vocational skilling platform that combines eLearning, mobile training in facilities, and a distributed network of access points that provide tutoring, devices, and connectivity to enable learners to realize their full potential. The FUNZA platform, learners have easy access to a library of eLearning materials on their mobile device enabling them to complete assignments online and offline at their convenience. FUNZA is an E-Skilling platform providing access to online training. The platform enables learners to acquire the online training skills they need to better their chances of employment, higher-earning levels, and increased job satisfaction. Online courses built for learners of any ability or knowledge level are designed to provide valuable training on a revolutionary platform that makes skills accessible to everyone. Certified Vocational and Trade programs designed by industry leaders and top professionals to build and enhance critical professional skills needed.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,56657,False,False
Online Marketing Pros,2020-01-01,https://onlinemarketingpros.com,"Tuscaloosa, Alabama, United States","Internet Services, Sales and Marketing","Brand Marketing, Marketing, SEO, Social Media Marketing",1807564.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,69017,False,False
All Globe,2021-01-01,https://allglobe.ca/,"Nobleton, Florida, United States",Consumer Goods,Consumer Goods,2847254.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,86888,False,False
BookingBee,2022-11-25,https://bookingbee.ai,"Wilmington, Delaware, United States",Software,Software,243999.0,"BookingBee is a Conversational AI-driven SaaS platform that provides an end-to-end booking solution for businesses. Our platform helps businesses automate their customer interactions and bookings by providing a seamless, personalized, and convenient booking experience. Our uniqueness is our Conversational AI technology that helps businesses engage with customers in real-time, allowing them to book appointments, make reservations, and inquire about services through a chat interface. Our platform is suitable for various industries such as beauty, wellness, healthcare, education, and more. We aim to empower businesses of all sizes to improve their customer engagement, increase sales, and streamline their booking processes.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,25373,False,False
Execweb,2021-02-01,https://execweb.com,"Long Island City, New York, United States","Information Technology, Software","Information Technology, Software",691114.0,Engagement platform that helps cybersecurity executives engage with target audiences in an authentic way through personalized virtual roundtables on demand.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,44200,False,False
Meriton,2019-01-01,https://meriton.com/,"Dallas, Texas, United States","Manufacturing, Real Estate, Science and Engineering","Construction, Industrial Engineering, Industrial Manufacturing, Manufacturing, Mechanical Engineering",217437.0,"Meriton is a manufacturer of mechanical engineering devices used to help in the construction of office buildings, houses, and other commercial buildings. It provides capital that allows companies to transition ownership and accelerate mutual long-term growth without arbitrary timetables imposed by third parties. The company has invested heavily in customized software, information technology, finance and accounting, marketing, leadership development, and human resources which can be leveraged across the portfolio companies to increase operating efficiency and generate growth. Meriton was founded in 2019 and is headquartered in Dallas, Texas.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,23462,False,False
Branzel,2018-07-01,http://branzel.com,"Palo Alto, California, United States","Blockchain and Cryptocurrency, Education, Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Education",2123577.0,"Branzel is a sharing platform that shares knowledge freely, is learned, and is used freely without any type of social discrimination. The platform has free courses, workshops, and webinars on various topics for sharing knowledge.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,74481,False,False
